Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/13/2020 3:33,32.3182,-86.9023,23710,769,13508,9433,1,483.5632349,286385,2202,3.243357233,84000001,USA,5840.79532,9.287220582
Alaska,US,6/13/2020 3:33,61.3707,-152.4044,624,12,403,209,2,85.29892214,70880,,1.923076923,84000002,USA,9689.082695,
American Samoa,US,6/13/2020 3:33,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,6/13/2020 3:33,33.7298,-111.4312,33039,1156,5980,25903,4,453.9124134,311236,3622,3.498895245,84000004,USA,4275.973362,10.96280154
Arkansas,US,6/13/2020 3:33,34.9697,-92.3731,11547,176,7607,3764,5,382.6292231,181122,961,1.524205421,84000005,USA,6001.781428,8.322508011
California,US,6/13/2020 3:33,36.1162,-119.6816,146659,4978,,141681,6,371.1737505,2662258,,3.394268337,84000006,USA,6737.808703,
Colorado,US,6/13/2020 3:33,39.0598,-105.3111,28807,1582,4169,23056,8,500.2313008,234370,5057,5.491720762,84000008,USA,4069.81671,17.554761
Connecticut,US,6/13/2020 3:33,41.5978,-72.7554,44689,4159,7611,32919,9,1253.447478,330254,9912,9.306540759,84000009,USA,9263.041096,22.1799548
Delaware,US,6/13/2020 3:33,39.3185,-75.5071,10173,414,6062,3697,10,1044.708985,77694,,4.069595989,84000010,USA,7978.729959,
Diamond Princess,US,6/13/2020 3:33,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/13/2020 3:33,38.8974,-77.0268,9654,506,1143,8005,11,1367.908421,61953,,5.241350735,84000011,USA,8778.333373,
Florida,US,6/13/2020 3:33,27.7663,-81.6868,70971,2877,,68094,12,330.439841,1335899,11986,4.053768441,84000012,USA,6219.92438,16.8885883
Georgia,US,6/13/2020 3:33,33.0406,-83.6431,55783,2418,,53365,13,525.3911425,591958,9181,4.334653927,84000013,USA,5575.345355,16.45841923
Grand Princess,US,6/13/2020 3:33,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/13/2020 3:33,13.4443,144.7937,183,5,168,10,66,111.4297718,8527,,2.732240437,316,GUM,5192.140243,
Hawaii,US,6/13/2020 3:33,21.0943,-157.4983,706,17,623,66,15,49.86326448,58579,86,2.407932011,84000015,USA,4137.309022,12.18130312
Idaho,US,6/13/2020 3:33,44.2405,-114.4788,3353,87,2684,582,16,187.6260796,61432,265,2.594691321,84000016,USA,3437.591806,7.903370116
Illinois,US,6/13/2020 3:33,40.3495,-88.9861,131198,6260,,124938,17,1035.352378,1147962,,4.771414198,84000017,USA,9059.171527,
Indiana,US,6/13/2020 3:33,39.8494,-86.2583,39146,2396,27811,8939,18,581.4724684,335180,6349,6.120676442,84000018,USA,4978.74475,16.21877076
Iowa,US,6/13/2020 3:33,42.0115,-93.2105,23350,644,14227,8479,19,740.078667,214544,,2.758029979,84000019,USA,6799.975912,
Kansas,US,6/13/2020 3:33,38.5266,-96.7265,10973,243,667,10063,20,376.6500968,129152,973,2.214526565,84000020,USA,4433.164431,8.867219539
Kentucky,US,6/13/2020 3:33,37.6681,-84.6701,12166,497,3379,8290,21,272.3117829,281094,2406,4.085155351,84000021,USA,6291.731736,19.77642611
Louisiana,US,6/13/2020 3:33,31.1695,-91.8678,44995,2996,33904,8095,22,967.8854344,479534,,6.658517613,84000022,USA,10315.23445,
Maine,US,6/13/2020 3:33,44.6939,-69.3819,2721,100,2105,516,23,202.4234273,66887,308,3.675119441,84000023,USA,4975.926416,11.31936788
Maryland,US,6/13/2020 3:33,39.0639,-76.8021,60613,2900,4474,53239,24,1002.583663,400095,9923,4.78445218,84000024,USA,6617.86598,16.37107551
