Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,7/31/2020 4:35,32.3182,-86.9023,85762,1565,35401,48796,1,1749.107978,680108,10070,1.824817518,84000001,USA,13870.73912,11.74179707
Alaska,US,7/31/2020 4:35,61.3707,-152.4044,2879,23,885,1971,2,393.550636,225057,,0.798888503,84000002,USA,30764.61462,
American Samoa,US,7/31/2020 4:35,-14.271,-170.132,0,0,,0,60,0,1037,,,16,ASM,1863.733578,
Arizona,US,7/31/2020 4:35,33.7298,-111.4312,170798,3626,22358,144814,4,2346.539919,903954,11172,2.122975679,84000004,USA,12419.13925,6.5410602
Arkansas,US,7/31/2020 4:35,34.9697,-92.3731,41759,442,34737,6580,5,1383.754545,502717,2747,1.058454465,84000005,USA,16658.37145,6.578222659
California,US,7/31/2020 4:35,36.1162,-119.6816,492934,9026,,483908,6,1247.548132,7633840,,1.831076777,84000006,USA,19320.19871,
Colorado,US,7/31/2020 4:35,39.0598,-105.3111,46186,1822,5277,39087,8,802.0162758,519672,6398,3.944918374,84000008,USA,9024.063614,13.85268263
Connecticut,US,7/31/2020 4:35,41.5978,-72.7554,49670,4431,8613,36626,9,1393.155726,778728,10807,8.920877793,84000009,USA,21841.94428,21.75760016
Delaware,US,7/31/2020 4:35,39.3185,-75.5071,14689,581,8140,5968,10,1508.476386,178863,,3.955340731,84000010,USA,18368.20831,
Diamond Princess,US,7/31/2020 4:35,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,7/31/2020 4:35,38.8974,-77.0268,12057,584,9777,1696,11,1708.397745,182990,,4.843659285,84000011,USA,25928.48166,
Florida,US,7/31/2020 4:35,27.7663,-81.6868,461379,6586,,454793,12,2148.173246,3579117,26386,1.427459854,84000012,USA,16664.31151,5.718942561
Georgia,US,7/31/2020 4:35,33.0406,-83.6431,182286,3671,,178615,13,1716.857283,1541389,18303,2.013868317,84000013,USA,14517.54348,10.04081498
Grand Princess,US,7/31/2020 4:35,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,7/31/2020 4:35,13.4443,144.7937,356,5,297,54,66,216.7704851,21542,,1.404494382,316,GUM,13117.04997,
Hawaii,US,7/31/2020 4:35,21.0943,-157.4983,1989,26,1215,748,15,140.4788003,119212,173,1.307189542,84000015,USA,8419.687655,8.69783811
Idaho,US,7/31/2020 4:35,44.2405,-114.4788,20242,177,6472,13593,16,1132.695229,175519,808,0.874419524,84000016,USA,9821.634915,3.991700425
Illinois,US,7/31/2020 4:35,40.3495,-88.9861,178135,7670,,170465,17,1405.756915,2651028,,4.305723187,84000017,USA,20920.65537,
Indiana,US,7/31/2020 4:35,39.8494,-86.2583,65253,2946,45751,16556,18,969.2643689,735848,8667,4.514734955,84000018,USA,10930.24454,13.28214795
Iowa,US,7/31/2020 4:35,42.0115,-93.2105,44285,865,31835,11585,19,1403.613866,469098,,1.953257311,84000019,USA,14868.06949,
Kansas,US,7/31/2020 4:35,38.5266,-96.7265,26885,357,1149,25379,20,922.832211,284949,1700,1.327877999,84000020,USA,9780.923031,6.323228566
Kentucky,US,7/31/2020 4:35,37.6681,-84.6701,29386,731,7590,21065,21,657.7473329,579306,3304,2.487579119,84000021,USA,12966.61595,11.24344926
Louisiana,US,7/31/2020 4:35,31.1695,-91.8678,114481,3925,74246,36310,22,2462.595675,1317390,,3.428516522,84000022,USA,28338.31742,
Maine,US,7/31/2020 4:35,44.6939,-69.3819,3888,122,3345,421,23,289.2400901,164807,386,3.137860082,84000023,USA,12260.49165,9.927983539
Maryland,US,7/31/2020 4:35,39.0639,-76.8021,87177,3488,5592,78097,24,1441.971788,893965,12500,4.001055324,84000024,USA,14786.83953,14.33864437
Massachusetts,US,7/31/2020 4:35,42.2302,-71.5301,117098,8580,97595,10923,25,1692.911849,1169152,11893,7.35319324,84000025,USA,16962.66219,10.19248569
Michigan,US,7/31/2020 4:35,43.3266,-84.5361,89781,6443,57502,25836,26,898.9915446,1813178,,7.176351344,84000026,USA,18155.64196,
Minnesota,US,7/31/2020 4:35,45.6945,-93.9002,53692,1634,46965,5093,27,952.047935,1007882,5112,3.043283916,84000027,USA,17871.41431,9.520971467
Mississippi,US,7/31/2020 4:35,32.7416,-89.6787,57579,1611,35071,20897,28,1934.681362,449881,4213,2.797895066,84000028,USA,15116.21226,7.316903732
Missouri,US,7/31/2020 4:35,38.4561,-92.2884,49139,1255,,47884,29,800.6448304,675133,,2.553979527,84000029,USA,11000.25939,
Montana,US,7/31/2020 4:35,46.9219,-110.4544,3814,55,2240,1519,30,356.8561479,168616,221,1.442055585,84000030,USA,15776.52235,5.794441531
Nebraska,US,7/31/2020 4:35,41.1254,-98.2681,25766,328,18802,6636,31,1331.983739,266893,1610,1.27299542,84000031,USA,13797.14104,6.248544594
Nevada,US,7/31/2020 4:35,38.3135,-117.0554,46824,801,1085,44938,32,1520.182744,463645,,1.710661199,84000032,USA,15052.64668,
New Hampshire,US,7/31/2020 4:35,43.4525,-71.5639,6544,415,5710,419,33,481.2787423,157397,690,6.341687042,84000033,USA,11575.76867,10.54400978
New Jersey,US,7/31/2020 4:35,40.2989,-74.521,180970,15809,32423,132738,34,2037.447972,2059564,21565,8.73570205,84000034,USA,23187.56973,11.91633972
New Mexico,US,7/31/2020 4:35,34.8405,-106.2485,20388,635,8015,11738,35,972.3253541,551637,2667,3.114577202,84000035,USA,26308.15388,13.08122425
New York,US,7/31/2020 4:35,42.1657,-74.9481,414370,32683,72973,308714,36,2130.047039,5820368,89995,7.887395323,84000036,USA,29919.29344,21.71851244
North Carolina,US,7/31/2020 4:35,35.6301,-79.8064,120532,1922,92302,26308,37,1149.228019,1724924,,1.594597285,84000037,USA,16446.51206,
North Dakota,US,7/31/2020 4:35,47.5289,-99.784,6301,103,5181,1017,38,826.8356118,151861,356,1.634661165,84000038,USA,19927.64368,5.649896842
Northern Mariana Islands,US,7/31/2020 4:35,15.0979,145.6739,42,2,29,11,69,76.16422458,11761,4,4.761904762,580,MNP,21327.79632,9.523809524
Ohio,US,7/31/2020 4:35,40.3888,-82.7649,89626,3442,64311,21873,39,766.7485093,1446472,10678,3.840403454,84000039,USA,12374.53696,11.91395354
Oklahoma,US,7/31/2020 4:35,35.5653,-96.9289,35740,536,28411,6793,40,903.2161216,615016,3104,1.499720201,84000040,USA,15542.59559,8.684946838
Oregon,US,7/31/2020 4:35,44.572,-122.0709,18131,316,3835,13980,41,429.8750728,398639,1587,1.742871325,84000041,USA,9451.490219,8.752964536
Pennsylvania,US,7/31/2020 4:35,40.5908,-77.2098,115807,7194,83308,25305,42,904.6016209,1199937,,6.21205972,84000042,USA,9373.051328,
Puerto Rico,US,7/31/2020 4:35,18.2208,-66.5901,16572,214,,16358,72,564.9401652,322544,,1.291334782,630,PRI,10995.5383,
Rhode Island,US,7/31/2020 4:35,41.6809,-71.5118,18950,1007,1813,16130,44,1788.8142,204519,2202,5.313984169,84000044,USA,19305.88345,11.62005277
South Carolina,US,7/31/2020 4:35,33.8569,-80.945,87572,1667,32859,53046,45,1700.851902,691391,5117,1.903576486,84000045,USA,13428.42116,5.843191888
South Dakota,US,7/31/2020 4:35,44.2998,-99.4388,8685,129,7690,866,46,981.7342049,110345,815,1.485319516,84000046,USA,12473.16763,9.383995394
Tennessee,US,7/31/2020 4:35,35.7478,-86.6923,102871,1033,64234,37604,47,1506.346155,1480812,4572,1.004170272,84000047,USA,21683.61796,4.44440124
Texas,US,7/31/2020 4:35,31.0545,-97.5635,428229,6442,260542,161245,48,1476.861489,3609474,,1.504335297,84000048,USA,12448.23015,
Utah,US,7/31/2020 4:35,40.15,-111.8624,39696,300,27261,12135,49,1238.194636,524367,2346,0.755743652,84000049,USA,16356.01589,5.909915357
Vermont,US,7/31/2020 4:35,44.0459,-72.7107,1407,57,1207,143,50,225.4847441,93284,,4.051172708,84000050,USA,14949.62251,
Virgin Islands,US,7/31/2020 4:35,18.3358,-64.8963,385,8,296,81,78,358.9141216,8804,,2.077922078,850,VIR,8207.48033,
Virginia,US,7/31/2020 4:35,37.7693,-78.17,88904,2141,11728,75035,51,1041.576968,1094973,13085,2.408215603,84000051,USA,12828.42906,14.71812292
Washington,US,7/31/2020 4:35,47.4009,-121.4905,55803,1564,,54239,53,732.8139739,958307,5476,2.8027167,84000053,USA,12584.6417,9.813092486
West Virginia,US,7/31/2020 4:35,38.4912,-80.9545,6375,112,4703,1560,54,355.7185878,277481,,1.756862745,84000054,USA,15483.1607,
Wisconsin,US,7/31/2020 4:35,44.2685,-89.6165,52108,919,41319,9870,55,894.9521798,923681,4590,1.763644738,84000055,USA,15864.17296,8.808628234
Wyoming,US,7/31/2020 4:35,42.756,-107.3025,2686,26,2065,595,56,464.0964547,52641,166,0.96798213,84000056,USA,9095.495707,6.180193596
