Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/22/2020 2:36,32.3182,-86.9023,13288,529,,12759,1,271.0075186,170739,1528,3.981035521,84000001,USA,3482.205954,11.49909693
Alaska,US,5/22/2020 2:36,61.3707,-152.4044,401,10,356,35,2,54.81549324,39545,,2.493765586,84000002,USA,5405.682494,
American Samoa,US,5/22/2020 2:36,-14.271,-170.132,0,0,,0,60,0,124,,,16,ASM,222.8572456,
Arizona,US,5/22/2020 2:36,33.7298,-111.4312,15348,764,3872,10712,4,210.8613372,171627,1830,4.977847277,84000004,USA,2357.929289,11.92337764
Arkansas,US,5/22/2020 2:36,34.9697,-92.3731,5458,110,3915,1433,5,180.8599896,99276,535,2.015390253,84000005,USA,3289.676864,9.802125321
California,US,5/22/2020 2:36,36.1162,-119.6816,88031,3583,,84448,6,222.794349,1421127,,4.070157104,84000006,USA,3596.676907,
Colorado,US,5/22/2020 2:36,39.0598,-105.3111,23191,1310,3532,18349,8,402.7099002,135611,3990,5.648743047,84000008,USA,2354.874403,17.2049502
Connecticut,US,5/22/2020 2:36,41.5978,-72.7554,39208,3583,6264,29361,9,1099.715114,202747,10946,9.138441134,84000009,USA,5686.695068,27.91777188
Delaware,US,5/22/2020 2:36,39.3185,-75.5071,8386,317,4130,3939,10,861.1942935,47542,,3.780109707,84000010,USA,4882.291808,
Diamond Princess,US,5/22/2020 2:36,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,5/22/2020 2:36,38.8974,-77.0268,7788,412,1061,6315,11,1103.508471,41756,,5.290190036,84000011,USA,5916.551068,
Florida,US,5/22/2020 2:36,27.7663,-81.6868,48675,2144,,46531,12,226.6300216,813929,9200,4.404725218,84000012,USA,3789.640408,18.90087314
