Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/24/2020 2:32,32.3182,-86.9023,14117,549,7951,5617,1,287.9148961,182676,1589,3.888928243,84000001,USA,3725.659954,11.25593256
Alaska,US,5/24/2020 2:32,61.3707,-152.4044,407,10,358,39,2,55.63567518,42351,,2.457002457,84000002,USA,5789.25425,
American Samoa,US,5/24/2020 2:32,-14.271,-170.132,0,0,,0,60,0,124,,,16,ASM,222.8572456,
Arizona,US,5/24/2020 2:32,33.7298,-111.4312,16053,801,4033,11219,4,220.5471102,180439,1930,4.989721547,84000004,USA,2478.994581,12.02267489
Arkansas,US,5/24/2020 2:32,34.9697,-92.3731,5775,115,4029,1631,5,191.3643166,103047,590,1.991341991,84000005,USA,3414.635278,10.21645022
California,US,5/24/2020 2:32,36.1162,-119.6816,92539,3738,,88801,6,234.2034767,1515306,,4.039377992,84000006,USA,3835.030998,
Colorado,US,5/24/2020 2:32,39.0598,-105.3111,23964,1327,3612,19025,8,416.1329847,144952,4082,5.537472876,84000008,USA,2517.080137,17.03388416
Connecticut,US,5/24/2020 2:32,41.5978,-72.7554,40022,3675,7127,29220,9,1122.546376,208367,12538,9.182449653,84000009,USA,5844.326137,31.32776973
Delaware,US,5/24/2020 2:32,39.3185,-75.5071,8529,322,4454,3753,10,875.8795766,50534,,3.775354672,84000010,USA,5189.553116,
Diamond Princess,US,5/24/2020 2:32,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,5/24/2020 2:32,38.8974,-77.0268,7966,427,1075,6464,11,1128.729903,51991,,5.360281195,84000011,USA,7366.783375,
Florida,US,5/24/2020 2:32,27.7663,-81.6868,50127,2233,,47894,12,233.3905104,856437,9567,4.4546851,84000012,USA,3987.556976,19.08552277
Georgia,US,5/24/2020 2:32,33.0406,-83.6431,42242,1822,,40420,13,397.8554872,453537,7411,4.313242744,84000013,USA,4271.629754,17.54415037
Grand Princess,US,5/24/2020 2:32,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,5/24/2020 2:32,13.4443,144.7937,165,5,134,26,66,100.4694664,5359,,3.03030303,316,GUM,3263.126488,
Hawaii,US,5/24/2020 2:32,21.0943,-157.4983,643,17,585,41,15,45.41370971,48821,84,2.643856921,84000015,USA,3448.122429,13.06376361
Idaho,US,5/24/2020 2:32,44.2405,-114.4788,2595,79,1735,781,16,145.210163,40609,225,3.044315992,84000016,USA,2272.385168,8.670520231
Illinois,US,5/24/2020 2:32,40.3495,-88.9861,107796,4790,,103006,17,850.6748951,722247,,4.443578611,84000017,USA,5699.6307,
