Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/17/2020 4:33,32.3182,-86.9023,26912,785,13508,12619,1,548.8677258,305424,2315,2.916914388,84000001,USA,6229.093946,8.602110583
Alaska,US,6/17/2020 4:33,61.3707,-152.4044,675,12,429,234,2,92.27046867,76215,,1.777777778,84000002,USA,10418.36114,
American Samoa,US,6/17/2020 4:33,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,6/17/2020 4:33,33.7298,-111.4312,39185,1228,6598,31359,4,538.3503714,354334,3808,3.133852239,84000004,USA,4868.083208,9.718004338
Arkansas,US,6/17/2020 4:33,34.9697,-92.3731,13191,188,8352,4651,5,437.1059221,205566,1026,1.425214161,84000005,USA,6811.77439,7.778030475
California,US,6/17/2020 4:33,36.1162,-119.6816,158961,5200,,153761,6,402.3084199,2937755,,3.271242632,84000006,USA,7435.053705,
Colorado,US,6/17/2020 4:33,39.0598,-105.3111,29427,1617,4196,23614,8,510.9975522,253156,5269,5.494953614,84000008,USA,4396.03413,17.90532504
Connecticut,US,6/17/2020 4:33,41.5978,-72.7554,45349,4210,7611,33528,9,1271.959312,361420,9912,9.283556418,84000009,USA,10137.19232,21.85715231
Delaware,US,6/17/2020 4:33,39.3185,-75.5071,10403,424,6256,3723,10,1068.328671,86074,,4.075747381,84000010,USA,8839.308087,
Diamond Princess,US,6/17/2020 4:33,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/17/2020 4:33,38.8974,-77.0268,9818,520,1155,8143,11,1391.146144,67126,,5.296394378,84000011,USA,9511.313512,
Florida,US,6/17/2020 4:33,27.7663,-81.6868,80109,2993,,77116,12,372.9862229,1460309,12489,3.736159483,84000012,USA,6799.175351,15.59000861
Georgia,US,6/17/2020 4:33,33.0406,-83.6431,59078,2529,,56549,13,556.4250384,634978,9454,4.28078134,84000013,USA,5980.52842,16.00257287
Grand Princess,US,6/17/2020 4:33,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/17/2020 4:33,13.4443,144.7937,186,5,169,12,66,113.2564894,9032,,2.688172043,316,GUM,5499.637701,
Hawaii,US,6/17/2020 4:33,21.0943,-157.4983,736,17,630,89,15,51.98210008,62028,91,2.309782609,84000015,USA,4380.904489,12.36413043
Idaho,US,6/17/2020 4:33,44.2405,-114.4788,3462,88,2877,497,16,193.7254661,65647,270,2.541883304,84000016,USA,3673.4534,7.798960139
Illinois,US,6/17/2020 4:33,40.3495,-88.9861,133639,6398,,127241,17,1054.615592,1229202,,4.7875246,84000017,USA,9700.279068,
Indiana,US,6/17/2020 4:33,39.8494,-86.2583,40786,2447,29093,9246,18,605.8329356,363745,6481,5.999607709,84000018,USA,5403.047643,15.89025646
Iowa,US,6/17/2020 4:33,42.0115,-93.2105,24179,665,15025,8489,19,766.3538368,230638,,2.750320526,84000019,USA,7310.075529,
Kansas,US,6/17/2020 4:33,38.5266,-96.7265,11411,246,676,10489,20,391.6845215,136962,988,2.155814565,84000020,USA,4701.244013,8.658312155
Kentucky,US,6/17/2020 4:33,37.6681,-84.6701,12647,505,3431,8711,21,283.078014,296033,2436,3.993041828,84000021,USA,6626.111625,19.26148494
Louisiana,US,6/17/2020 4:33,31.1695,-91.8678,47706,3042,37017,7647,22,1026.201634,532717,,6.376556408,84000022,USA,11459.25158,
Maine,US,6/17/2020 4:33,44.6939,-69.3819,2819,101,2233,485,23,209.7139439,72335,321,3.582830791,84000023,USA,5381.219629,11.38701667
Maryland,US,6/17/2020 4:33,39.0639,-76.8021,62409,2982,4579,54848,24,1032.290826,429225,10262,4.778156997,84000024,USA,7099.697635,16.44314121
Massachusetts,US,6/17/2020 4:33,42.2302,-71.5301,105885,7664,,98221,25,1536.234369,723647,10867,7.238041271,84000025,USA,10499.04512,10.2630212
Michigan,US,6/17/2020 4:33,43.3266,-84.5361,66269,6034,44964,15271,26,663.5621197,835534,,9.105313193,84000026,USA,8366.335875,
Minnesota,US,6/17/2020 4:33,45.6945,-93.9002,30882,1344,27006,2532,27,547.5889207,429145,3658,4.352049738,84000027,USA,7609.450404,11.84508775
Mississippi,US,6/17/2020 4:33,32.7416,-89.6787,20152,915,15323,3914,28,677.1166363,240803,2728,4.540492259,84000028,USA,8091.093557,13.5371179
Missouri,US,6/17/2020 4:33,38.4561,-92.2884,16857,891,,15966,29,274.6590265,284791,,5.285638014,84000029,USA,4640.233661,
Montana,US,6/17/2020 4:33,46.9219,-110.4544,614,19,535,60,30,57.44878731,63577,79,3.094462541,84000030,USA,5948.569301,12.86644951
Nebraska,US,6/17/2020 4:33,41.1254,-98.2681,17038,231,10351,6456,31,880.7862664,139513,1088,1.355792933,84000031,USA,7212.180677,6.385726024
Nevada,US,6/17/2020 4:33,38.3135,-117.0554,11683,467,640,10576,32,379.2989706,222474,,3.997260977,84000032,USA,7222.815987,
New Hampshire,US,6/17/2020 4:33,43.4525,-71.5639,5364,326,4041,997,33,394.495595,98873,519,6.077554064,84000033,USA,7271.618748,9.675615213
New Jersey,US,6/17/2020 4:33,40.2989,-74.521,167426,12792,28872,125762,34,1884.963055,1131782,18879,7.640390381,84000034,USA,12742.1503,11.27602642
New Mexico,US,6/17/2020 4:33,34.8405,-106.2485,9933,447,4160,5326,35,473.7153101,267921,1686,4.500151012,84000035,USA,12777.43679,16.97372395
New York,US,6/17/2020 4:33,42.1657,-74.9481,384575,30909,68938,284728,36,1976.887419,3051778,89995,8.037183904,84000036,USA,15687.50318,23.40115712
North Carolina,US,6/17/2020 4:33,35.6301,-79.8064,45907,1169,29219,15519,37,437.7062579,651421,,2.546452611,84000037,USA,6211.058188,
North Dakota,US,6/17/2020 4:33,47.5289,-99.784,3124,74,2720,330,38,409.9403986,88651,200,2.368758003,84000038,USA,11633.04298,6.402048656
Northern Mariana Islands,US,6/17/2020 4:33,15.0979,145.6739,30,2,19,9,69,54.40301755,8169,,6.666666667,580,MNP,14813.94168,
Ohio,US,6/17/2020 4:33,40.3888,-82.7649,42010,2599,,39411,39,359.3946497,568133,7007,6.186622233,84000039,USA,4860.36564,16.67936206
Oklahoma,US,6/17/2020 4:33,35.5653,-96.9289,8645,363,6765,1517,40,218.4751923,261805,1130,4.198958936,84000040,USA,6616.298174,13.07113939
Oregon,US,6/17/2020 4:33,44.572,-122.0709,6098,182,2431,3485,41,144.5799015,179538,912,2.98458511,84000041,USA,4256.737677,14.95572319
Pennsylvania,US,6/17/2020 4:33,40.5908,-77.2098,83978,6276,59612,18090,42,655.9761924,603092,,7.473385887,84000042,USA,4710.924217,
Puerto Rico,US,6/17/2020 4:33,18.2208,-66.5901,5951,147,,5804,72,202.869836,5951,,2.47017308,630,PRI,202.869836,
Rhode Island,US,6/17/2020 4:33,41.6809,-71.5118,16164,865,1479,13820,44,1525.825474,203618,1889,5.351398169,84000044,USA,19220.83218,11.68646375
