Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/7/2020 3:53,32.3182,-86.9023,20043,689,11395,7959,1,408.7751125,245644,1993,3.43760914,84000001,USA,5009.886431,9.943621214
Alaska,US,6/7/2020 3:53,61.3707,-152.4044,535,10,382,143,2,73.13288998,63901,48,1.869158879,84000002,USA,8735.074397,8.971962617
American Samoa,US,6/7/2020 3:53,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,6/7/2020 3:53,33.7298,-111.4312,25451,1043,5399,19009,4,349.6632717,271646,3320,4.098070803,84000004,USA,3732.058823,13.04467408
Arkansas,US,6/7/2020 3:53,34.9697,-92.3731,9101,154,6266,2681,5,301.5769082,156757,838,1.692121745,84000005,USA,5194.406264,9.207779365
California,US,6/7/2020 3:53,36.1162,-119.6816,128593,4607,,123986,6,325.4511901,2308300,,3.581843491,84000006,USA,5841.989705,
Colorado,US,6/7/2020 3:53,39.0598,-105.3111,27834,1527,4055,22252,8,483.3352319,208277,4472,5.486096141,84000008,USA,3616.713807,16.06668104
Connecticut,US,6/7/2020 3:53,41.5978,-72.7554,43818,4055,7284,32479,9,1229.017468,295549,9669,9.254187777,84000009,USA,8289.627174,22.06627413
Delaware,US,6/7/2020 3:53,39.3185,-75.5071,9845,390,5696,3759,10,1011.025259,67635,,3.961401727,84000010,USA,6945.728123,
Diamond Princess,US,6/7/2020 3:53,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/7/2020 3:53,38.8974,-77.0268,9269,483,1138,7648,11,1313.356448,53678,,5.210918114,84000011,USA,7605.8202,
Florida,US,6/7/2020 3:53,27.7663,-81.6868,62758,2688,,60070,12,292.2002444,1174185,11163,4.283119284,84000012,USA,5466.986582,17.78737372
Georgia,US,6/7/2020 3:53,33.0406,-83.6431,51359,2178,,49181,13,483.7237812,522857,8662,4.240736774,84000013,USA,4924.518878,16.86559318
Grand Princess,US,6/7/2020 3:53,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/7/2020 3:53,13.4443,144.7937,179,5,162,12,66,108.9941484,7463,,2.793296089,316,GUM,4544.264411,
Hawaii,US,6/7/2020 3:53,21.0943,-157.4983,673,17,614,42,15,47.53254531,53257,83,2.526002972,84000015,USA,3761.427587,12.33283804
Idaho,US,6/7/2020 3:53,44.2405,-114.4788,3139,83,2408,648,16,175.6511375,55239,257,2.644154189,84000016,USA,3091.045933,8.187320803
Illinois,US,6/7/2020 3:53,40.3495,-88.9861,126890,5864,,121026,17,1001.355685,1022074,,4.621325558,84000017,USA,8065.723151,
Indiana,US,6/7/2020 3:53,39.8494,-86.2583,36997,2292,24729,9976,18,549.5513441,297530,6091,6.1950969,84000018,USA,4419.493781,16.46349704
Iowa,US,6/7/2020 3:53,42.0115,-93.2105,21478,599,12715,8164,19,680.7455936,184714,,2.78890027,84000019,USA,5854.513529,
Kansas,US,6/7/2020 3:53,38.5266,-96.7265,10361,233,612,9516,20,355.6430924,113653,917,2.248817682,84000020,USA,3901.158612,8.850497056
