Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/4/2020 2:33,32.3182,-86.9023,18851,653,11395,6803,1,384.4643839,231594,1900,3.464007214,84000001,USA,4723.337994,10.0790409
Alaska,US,6/4/2020 2:33,61.3707,-152.4044,504,10,373,121,2,68.89528327,58182,,1.984126984,84000002,USA,7953.304308,
American Samoa,US,6/4/2020 2:33,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,6/4/2020 2:33,33.7298,-111.4312,22356,983,5076,16297,4,307.1420417,244525,3129,4.39702988,84000004,USA,3359.451947,13.99624262
Arkansas,US,6/4/2020 2:33,34.9697,-92.3731,8067,142,5717,2208,5,267.313583,142480,731,1.760257841,84000005,USA,4721.313909,9.061609024
California,US,6/4/2020 2:33,36.1162,-119.6816,119348,4374,,114974,6,302.0533671,2131294,,3.664912692,84000006,USA,5394.011873,
Colorado,US,6/4/2020 2:33,39.0598,-105.3111,27046,1494,3983,21569,8,469.6516736,194177,4419,5.523922207,84000008,USA,3371.86841,16.33883014
Connecticut,US,6/4/2020 2:33,41.5978,-72.7554,43091,3989,7511,31591,9,1208.626402,276436,13793,9.257153466,84000009,USA,7753.5413,32.0090042
Delaware,US,6/4/2020 2:33,39.3185,-75.5071,9712,375,5493,3844,10,997.3669185,64920,,3.861202636,84000010,USA,6666.913133,
Diamond Princess,US,6/4/2020 2:33,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/4/2020 2:33,38.8974,-77.0268,9016,473,1138,7405,11,1277.508009,49562,,5.246228926,84000011,USA,7022.610021,
Florida,US,6/4/2020 2:33,27.7663,-81.6868,58764,2566,,56198,12,273.6042442,1080913,10796,4.366619018,84000012,USA,5032.713642,18.37179225
Georgia,US,6/4/2020 2:33,33.0406,-83.6431,48894,2123,,46771,13,460.5072248,482712,8419,4.342046059,84000013,USA,4546.413946,17.21888166
Grand Princess,US,6/4/2020 2:33,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/4/2020 2:33,13.4443,144.7937,177,5,151,21,66,107.7763367,6727,,2.824858757,316,GUM,4096.1097,
Hawaii,US,6/4/2020 2:33,21.0943,-157.4983,653,17,609,27,15,46.11998825,49508,83,2.603369066,84000015,USA,3496.643764,12.71056662
Idaho,US,6/4/2020 2:33,44.2405,-114.4788,2933,83,2282,568,16,164.1238567,48942,251,2.82986703,84000016,USA,2738.680462,8.557790658
Illinois,US,6/4/2020 2:33,40.3495,-88.9861,123830,5621,,118209,17,977.2076168,959175,,4.539287733,84000017,USA,7569.354081,
Indiana,US,6/4/2020 2:33,39.8494,-86.2583,35712,2207,23182,10323,18,530.4640268,277815,5952,6.17999552,84000018,USA,4126.648286,16.66666667
Iowa,US,6/4/2020 2:33,42.0115,-93.2105,20300,574,12064,7662,19,643.4088626,164445,,2.827586207,84000019,USA,5212.087212,
Kansas,US,6/4/2020 2:33,38.5266,-96.7265,10092,226,592,9274,20,346.4096215,108053,890,2.239397543,84000020,USA,3708.937657,8.818866429
Kentucky,US,6/4/2020 2:33,37.6681,-84.6701,10410,450,3283,6677,21,233.0072053,232199,2317,4.322766571,84000021,USA,5197.314128,22.25744476
Louisiana,US,6/4/2020 2:33,31.1695,-91.8678,41133,2870,31728,6535,22,884.8101249,402087,,6.977366105,84000022,USA,8649.27549,
Maine,US,6/4/2020 2:33,44.6939,-69.3819,2418,95,1699,624,23,179.88234,53009,285,3.928866832,84000023,USA,3943.499984,11.7866005
Maryland,US,6/4/2020 2:33,39.0639,-76.8021,54982,2641,3970,48371,24,909.4427757,327625,9111,4.8033902,84000024,USA,5419.158804,16.57087774
Massachusetts,US,6/4/2020 2:33,42.2302,-71.5301,101592,7152,,94440,25,1473.949304,617761,10151,7.039924403,84000025,USA,8962.796244,9.991928498
Michigan,US,6/4/2020 2:33,43.3266,-84.5361,58035,5570,38099,14366,26,581.1137578,593549,,9.597656587,84000026,USA,5943.301281,
Minnesota,US,6/4/2020 2:33,45.6945,-93.9002,25870,1097,21169,3604,27,458.7178738,265718,3203,4.240432934,84000027,USA,4711.619482,12.38113645
Mississippi,US,6/4/2020 2:33,32.7416,-89.6787,16322,782,11203,4337,28,548.4268429,184747,2340,4.791079525,84000028,USA,6207.585709,14.33647837
Missouri,US,6/4/2020 2:33,38.4561,-92.2884,14189,791,,13398,29,231.1880482,211353,,5.574740997,84000029,USA,3443.6738,
Montana,US,6/4/2020 2:33,46.9219,-110.4544,525,17,464,44,30,49.12152009,43448,68,3.238095238,84000030,USA,4065.203438,12.95238095
Nebraska,US,6/4/2020 2:33,41.1254,-98.2681,14885,170,6743,7972,31,769.486065,109966,851,1.142089352,84000031,USA,5684.736622,5.717164931
Nevada,US,6/4/2020 2:33,38.3135,-117.0554,8951,431,501,8019,32,290.6021643,156255,,4.815104458,84000032,USA,5072.957344,
New Hampshire,US,6/4/2020 2:33,43.4525,-71.5639,4795,265,3071,1459,33,352.6484672,75739,462,5.526590198,84000033,USA,5570.227791,9.635036496
New Jersey,US,6/4/2020 2:33,40.2989,-74.521,162068,11880,27008,123180,34,1824.640094,837420,17390,7.330256436,84000034,USA,9428.080237,10.73006392
New Mexico,US,6/4/2020 2:33,34.8405,-106.2485,8140,375,2960,4805,35,388.2052375,206837,1416,4.606879607,84000035,USA,9864.276009,17.3955774
New York,US,6/4/2020 2:33,42.1657,-74.9481,374085,30019,66502,277564,36,1922.96413,2229473,89995,8.024646805,84000036,USA,11460.48788,24.05736664
North Carolina,US,6/4/2020 2:33,35.6301,-79.8064,31276,999,18860,11417,37,298.2050868,449263,,3.194142473,84000037,USA,4283.556463,
North Dakota,US,6/4/2020 2:33,47.5289,-99.784,2679,66,2169,444,38,351.5461997,74502,172,2.463605823,84000038,USA,9776.369902,6.420306084
Northern Mariana Islands,US,6/4/2020 2:33,15.0979,145.6739,24,16,16,-8,69,43.52241404,6557,,66.66666667,580,MNP,11890.6862,
Ohio,US,6/4/2020 2:33,40.3888,-82.7649,36792,2300,,34492,39,314.7547715,426105,6251,6.251358991,84000039,USA,3645.319143,16.99010654
Oklahoma,US,6/4/2020 2:33,35.5653,-96.9289,6805,341,5711,753,40,171.9749778,208052,1003,5.011021308,84000040,USA,5257.860116,14.73916238
Oregon,US,6/4/2020 2:33,44.572,-122.0709,4399,159,2199,2041,41,104.2976364,136668,800,3.614457831,84000041,USA,3240.315838,18.18595135
Pennsylvania,US,6/4/2020 2:33,40.5908,-77.2098,77780,5742,49915,22123,42,607.5618406,475391,,7.382360504,84000042,USA,3713.415158,
Puerto Rico,US,6/4/2020 2:33,18.2208,-66.5901,4023,140,,3883,72,137.1442363,4023,,3.479990057,630,PRI,137.1442363,
Rhode Island,US,6/4/2020 2:33,41.6809,-71.5118,15219,742,1311,13166,44,1436.620755,162540,1753,4.875484592,84000044,USA,15343.21162,11.51849662
South Carolina,US,6/4/2020 2:33,33.8569,-80.945,12415,501,6976,4938,45,241.128173,222925,1789,4.035440999,84000045,USA,4329.721946,14.40998792
South Dakota,US,6/4/2020 2:33,44.2998,-99.4388,5162,62,4084,1016,46,583.5016656,48662,456,1.201084851,84000046,USA,5500.650533,8.833785355
Tennessee,US,6/4/2020 2:33,35.7478,-86.6923,24833,388,16319,8126,47,363.6310921,470779,1829,1.56243708,84000047,USA,6893.644824,7.365199533
Texas,US,6/4/2020 2:33,31.0545,-97.5635,68877,1744,45858,21275,48,237.5406355,1006768,,2.532049886,84000048,USA,3472.106952,
Utah,US,6/4/2020 2:33,40.15,-111.8624,10497,117,6501,3879,49,327.4216318,223981,829,1.114604173,84000049,USA,6986.398449,7.897494522
Vermont,US,6/4/2020 2:33,44.0459,-72.7107,990,55,879,56,50,158.656643,37195,,5.555555556,84000050,USA,5960.842258,
Virgin Islands,US,6/4/2020 2:33,18.3358,-64.8963,70,6,62,2,78,65.25711303,2026,,8.571428571,850,VIR,1888.7273,
Virginia,US,6/4/2020 2:33,37.7693,-78.17,46905,1428,6165,39312,51,549.5272168,342387,7476,3.044451551,84000051,USA,4011.320226,15.9385993
Washington,US,6/4/2020 2:33,47.4009,-121.4905,22484,1135,,21349,53,295.2635053,368799,3543,5.048034158,84000053,USA,4843.127802,15.75787226
West Virginia,US,6/4/2020 2:33,38.4912,-80.9545,2077,78,1381,618,54,115.8945109,103768,,3.755416466,84000054,USA,5790.150027,
Wisconsin,US,6/4/2020 2:33,44.2685,-89.6165,19400,616,12172,6612,55,333.1939873,299111,2700,3.175257732,84000055,USA,5137.21581,13.91752577
Wyoming,US,6/4/2020 2:33,42.756,-107.3025,915,17,714,184,56,158.0968935,26628,87,1.857923497,84000056,USA,4600.878777,9.508196721
