Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/9/2020 3:33,32.3182,-86.9023,20925,718,11395,8812,1,426.7634201,259991,2054,3.43130227,84000001,USA,5302.492156,9.816009558
Alaska,US,6/9/2020 3:33,61.3707,-152.4044,562,10,384,168,2,76.82370873,65912,,1.779359431,84000002,USA,9009.972045,
American Samoa,US,6/9/2020 3:33,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,6/9/2020 3:33,33.7298,-111.4312,27678,1053,5639,20986,4,380.2593232,288081,3377,3.804465641,84000004,USA,3957.854111,12.20102609
Arkansas,US,6/9/2020 3:33,34.9697,-92.3731,9740,155,6424,3161,5,322.7512456,160587,844,1.59137577,84000005,USA,5321.319741,8.665297741
California,US,6/9/2020 3:33,36.1162,-119.6816,133816,4657,,129159,6,338.6698845,2431190,,3.48015185,84000006,USA,6153.007387,
Colorado,US,6/9/2020 3:33,39.0598,-105.3111,28169,1543,4091,22535,8,489.1524807,217484,4485,5.477652739,84000008,USA,3776.592641,15.92175796
Connecticut,US,6/9/2020 3:33,41.5978,-72.7554,44092,4084,7284,32724,9,1236.702683,308071,9669,9.262451238,84000009,USA,8640.847146,21.92914814
Delaware,US,6/9/2020 3:33,39.3185,-75.5071,9972,398,5791,3783,10,1024.067433,69947,,3.991175291,84000010,USA,7183.157315,
Diamond Princess,US,6/9/2020 3:33,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/9/2020 3:33,38.8974,-77.0268,9389,491,1143,7755,11,1330.35966,55766,,5.229523911,84000011,USA,7901.676092,
Florida,US,6/9/2020 3:33,27.7663,-81.6868,64904,2712,,62192,12,302.1919861,1234550,11282,4.178478984,84000012,USA,5748.045057,17.38259583
Georgia,US,6/9/2020 3:33,33.0406,-83.6431,52497,2208,,50289,13,494.4420129,549375,8746,4.205954626,84000013,USA,5174.278165,16.65999962
Grand Princess,US,6/9/2020 3:33,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/9/2020 3:33,13.4443,144.7937,179,5,163,11,66,108.9941484,7729,,2.793296089,316,GUM,4706.233369,
Hawaii,US,6/9/2020 3:33,21.0943,-157.4983,676,17,617,42,15,47.74442887,55147,84,2.514792899,84000015,USA,3894.91423,12.4260355
Idaho,US,6/9/2020 3:33,44.2405,-114.4788,3189,83,2461,645,16,178.4490212,56041,260,2.60269677,84000016,USA,3135.923987,8.153026027
Illinois,US,6/9/2020 3:33,40.3495,-88.9861,128415,5924,,122491,17,1013.390262,1059597,,4.613168244,84000017,USA,8361.836866,
Indiana,US,6/9/2020 3:33,39.8494,-86.2583,37623,2316,25608,9699,18,558.8499126,309503,6179,6.155808947,84000018,USA,4597.340045,16.42346437
Iowa,US,6/9/2020 3:33,42.0115,-93.2105,22007,617,13028,8362,19,697.512258,193622,,2.803653383,84000019,USA,6136.852748,
Kansas,US,6/9/2020 3:33,38.5266,-96.7265,10544,236,625,9683,20,361.9245986,119509,936,2.238239757,84000020,USA,4102.166811,8.877086495
Kentucky,US,6/9/2020 3:33,37.6681,-84.6701,11476,472,3359,7645,21,256.8675013,252857,2368,4.112931335,84000021,USA,5659.702489,20.63436738
Louisiana,US,6/9/2020 3:33,31.1695,-91.8678,43050,2944,33904,6202,22,926.0466263,442602,,6.838559814,84000022,USA,9520.791844,
Maine,US,6/9/2020 3:33,44.6939,-69.3819,2588,99,1891,598,23,192.5291546,61645,301,3.825347759,84000023,USA,4585.958167,11.63060278
Maryland,US,6/9/2020 3:33,39.0639,-76.8021,58404,2776,4240,51388,24,966.0451761,371503,9629,4.753099103,84000024,USA,6144.933242,16.48688446
Massachusetts,US,6/9/2020 3:33,42.2302,-71.5301,103626,7353,,96273,25,1503.459629,657269,10425,7.095709571,84000025,USA,9535.998751,10.06021655
Michigan,US,6/9/2020 3:33,43.3266,-84.5361,64944,5916,42041,16987,26,644.9776942,721035,,9.151879279,84000026,USA,7219.839034,
Minnesota,US,6/9/2020 3:33,45.6945,-93.9002,28224,1208,23657,3359,27,500.4581859,354226,3401,4.280045351,84000027,USA,6281.012662,12.05002834
Mississippi,US,6/9/2020 3:33,32.7416,-89.6787,17768,837,13356,3575,28,597.01312,208212,2535,4.710715894,84000028,USA,6996.020697,14.26722197
Missouri,US,6/9/2020 3:33,38.4561,-92.2884,15158,823,,14335,29,246.9764207,241461,,5.429476184,84000029,USA,3934.237599,
Montana,US,6/9/2020 3:33,46.9219,-110.4544,548,18,475,55,30,51.2735105,51592,69,3.284671533,84000030,USA,4827.195171,12.59124088
Nebraska,US,6/9/2020 3:33,41.1254,-98.2681,15786,188,8455,7143,31,816.0636226,121407,935,1.190928671,84000031,USA,6276.183721,5.92296972
Nevada,US,6/9/2020 3:33,38.3135,-117.0554,9816,442,522,8852,32,318.6851575,180003,,4.502852486,84000032,USA,5843.957254,
New Hampshire,US,6/9/2020 3:33,43.4525,-71.5639,5079,286,3392,1401,33,373.5352586,85552,489,5.63102973,84000033,USA,6291.925269,9.627879504
New Jersey,US,6/9/2020 3:33,40.2989,-74.521,164497,12214,27941,124342,34,1851.986954,975089,18050,7.425059424,84000034,USA,10978.02456,10.97284449
New Mexico,US,6/9/2020 3:33,34.8405,-106.2485,9062,400,3307,5355,35,432.1763959,234375,1533,4.414036637,84000035,USA,11177.59245,16.91679541
New York,US,6/9/2020 3:33,42.1657,-74.9481,378799,30417,67687,280695,36,1947.196197,2555896,89995,8.029852244,84000036,USA,13138.44802,23.75798247
North Carolina,US,6/9/2020 3:33,35.6301,-79.8064,36517,1041,23653,11823,37,348.1760825,520113,,2.850727059,84000037,USA,4959.084996,
North Dakota,US,6/9/2020 3:33,47.5289,-99.784,2880,72,2336,472,38,377.9220063,80180,184,2.5,84000038,USA,10521.45364,6.388888889
Northern Mariana Islands,US,6/9/2020 3:33,15.0979,145.6739,28,2,19,7,69,50.77614972,7242,,7.142857143,580,MNP,13132.88844,
Ohio,US,6/9/2020 3:33,40.3888,-82.7649,38837,2406,,36431,39,332.2497027,476818,6550,6.195123207,84000039,USA,4079.167772,16.86536035
Oklahoma,US,6/9/2020 3:33,35.5653,-96.9289,7205,348,6014,843,40,182.0837201,221803,1039,4.829979181,84000040,USA,5605.373403,14.42054129
Oregon,US,6/9/2020 3:33,44.572,-122.0709,4922,164,2237,2521,41,116.6976509,149879,843,3.33197887,84000041,USA,3553.540678,17.12718407
Pennsylvania,US,6/9/2020 3:33,40.5908,-77.2098,80339,5953,53670,20716,42,627.550922,527950,,7.409850757,84000042,USA,4123.968549,
Puerto Rico,US,6/9/2020 3:33,18.2208,-66.5901,5046,142,,4904,72,172.0183486,5046,,2.814110186,630,PRI,172.0183486,
Rhode Island,US,6/9/2020 3:33,41.6809,-71.5118,15642,799,1390,13453,44,1476.550487,179169,1807,5.10804245,84000044,USA,16912.93147,11.55223117
South Carolina,US,6/9/2020 3:33,33.8569,-80.945,14800,557,7347,6896,45,287.4504197,244661,1814,3.763513514,84000045,USA,4751.885616,12.25675676
South Dakota,US,6/9/2020 3:33,44.2998,-99.4388,5471,65,4403,1003,46,618.4303783,57819,482,1.188082617,84000046,USA,6535.738629,8.810089563
Tennessee,US,6/9/2020 3:33,35.7478,-86.6923,27005,421,17563,9021,47,395.435817,512763,1948,1.558970561,84000047,USA,7508.419027,7.213478985
Texas,US,6/9/2020 3:33,31.0545,-97.5635,76463,1848,49758,24857,48,263.7029722,1100446,,2.416855211,84000048,USA,3795.180426,
Utah,US,6/9/2020 3:33,40.15,-111.8624,12322,124,7255,4943,49,384.3468941,242899,918,1.006330141,84000049,USA,7576.487278,7.450089271
Vermont,US,6/9/2020 3:33,44.0459,-72.7107,1075,55,895,125,50,172.278678,42798,,5.11627907,84000050,USA,6858.774754,
