Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/18/2020 4:33,32.3182,-86.9023,27312,790,15974,10548,1,557.0256884,310723,2352,2.892501465,84000001,USA,6337.166556,8.611599297
Alaska,US,6/18/2020 4:33,61.3707,-152.4044,695,12,438,245,2,95.00440848,77709,,1.726618705,84000002,USA,10622.58644,
American Samoa,US,6/18/2020 4:33,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,6/18/2020 4:33,33.7298,-111.4312,40937,1249,6715,32973,4,562.4205475,366193,3861,3.051029631,84000004,USA,5031.010273,9.431565576
Arkansas,US,6/18/2020 4:33,34.9697,-92.3731,13606,197,8996,4413,5,450.8576435,220699,1052,1.447890636,84000005,USA,7313.231741,7.731882993
California,US,6/18/2020 4:33,36.1162,-119.6816,162798,5271,,157527,6,412.0193389,2997988,,3.237754764,84000006,USA,7587.49514,
Colorado,US,6/18/2020 4:33,39.0598,-105.3111,29656,1631,4231,23794,8,514.9741193,256667,5272,5.49973024,84000008,USA,4457.00237,17.77717831
Connecticut,US,6/18/2020 4:33,41.5978,-72.7554,45429,4219,7611,33599,9,1274.203171,367858,9912,9.287019305,84000009,USA,10317.76684,21.81866209
Delaware,US,6/18/2020 4:33,39.3185,-75.5071,10444,426,6305,3713,10,1072.539137,86587,,4.078896974,84000010,USA,8891.990256,
Diamond Princess,US,6/18/2020 4:33,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/18/2020 4:33,38.8974,-77.0268,9847,523,1155,8169,11,1395.255254,70086,,5.311262313,84000011,USA,9930.72608,
Florida,US,6/18/2020 4:33,27.7663,-81.6868,82719,3018,,79701,12,385.1383412,1485759,12673,3.648496718,84000012,USA,6917.670144,15.32054304
Georgia,US,6/18/2020 4:33,33.0406,-83.6431,60030,2575,,57455,13,565.3914326,650467,9543,4.289521906,84000013,USA,6126.411277,15.89705147
Grand Princess,US,6/18/2020 4:33,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/18/2020 4:33,13.4443,144.7937,188,5,170,13,66,114.4743011,9198,,2.659574468,316,GUM,5600.716073,
Hawaii,US,6/18/2020 4:33,21.0943,-157.4983,744,17,637,90,15,52.5471229,63243,92,2.284946237,84000015,USA,4466.71733,12.3655914
Idaho,US,6/18/2020 4:33,44.2405,-114.4788,3632,88,2921,623,16,203.2382706,66784,275,2.422907489,84000016,USA,3737.077275,7.571585903
Illinois,US,6/18/2020 4:33,40.3495,-88.9861,134185,6485,,127700,17,1058.924365,1259189,,4.832879979,84000017,USA,9936.922247,
Indiana,US,6/18/2020 4:33,39.8494,-86.2583,41013,2475,29671,8867,18,609.2047808,371182,6526,6.034671933,84000018,USA,5513.51642,15.91202789
Iowa,US,6/18/2020 4:33,42.0115,-93.2105,24460,675,15289,8496,19,775.2601369,235131,,2.759607522,84000019,USA,7452.481244,
Kansas,US,6/18/2020 4:33,38.5266,-96.7265,11644,247,696,10701,20,399.6822862,142124,1011,2.12126417,84000020,USA,4878.430543,8.682583305
Kentucky,US,6/18/2020 4:33,37.6681,-84.6701,12995,518,3444,9033,21,290.8673039,299869,2455,3.986148519,84000021,USA,6711.972877,18.89188149
Louisiana,US,6/18/2020 4:33,31.1695,-91.8678,48634,3062,37017,8555,22,1046.163801,545221,,6.296006909,84000022,USA,11728.22457,
Maine,US,6/18/2020 4:33,44.6939,-69.3819,2836,102,2275,459,23,210.9786254,74018,323,3.596614951,84000023,USA,5506.423094,11.38928068
Maryland,US,6/18/2020 4:33,39.0639,-76.8021,62969,2996,4596,55377,24,1041.553638,441343,10309,4.757896743,84000024,USA,7300.138281,16.3715479
Massachusetts,US,6/18/2020 4:33,42.2302,-71.5301,106151,7733,,98418,25,1540.093635,732046,10925,7.284905465,84000025,USA,10620.90216,10.29194261
Michigan,US,6/18/2020 4:33,43.3266,-84.5361,66497,6036,44964,15497,26,665.8451202,849885,,9.077101223,84000026,USA,8510.034739,
Minnesota,US,6/18/2020 4:33,45.6945,-93.9002,31296,1357,27404,2535,27,554.9298252,448587,3689,4.336017382,84000027,USA,7954.18921,11.78744888
Mississippi,US,6/18/2020 4:33,32.7416,-89.6787,20641,938,15323,4380,28,693.5472653,244389,2767,4.544353471,84000028,USA,8211.584837,13.40535827
