Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/30/2020 4:34,32.3182,-86.9023,37175,929,18866,17380,1,758.180652,393293,2725,2.498991258,84000001,USA,8021.173992,7.330195024
Alaska,US,6/30/2020 4:34,61.3707,-152.4044,901,14,525,362,2,123.1639885,108709,,1.553829079,84000002,USA,14860.19315,
American Samoa,US,6/30/2020 4:34,-14.271,-170.132,0,0,,0,60,0,696,,,16,ASM,1250.876152,
Arizona,US,6/30/2020 4:34,33.7298,-111.4312,74545,1598,9179,63768,4,1024.150273,511423,4634,2.143671608,84000004,USA,7026.279494,6.216379368
Arkansas,US,6/30/2020 4:34,34.9697,-92.3731,20257,265,14066,5926,5,671.2496902,302536,1380,1.308189762,84000005,USA,10025.03807,6.81245989
California,US,6/30/2020 4:34,36.1162,-119.6816,223646,5983,,217663,6,566.017255,4061692,,2.67520993,84000006,USA,10279.58361,
Colorado,US,6/30/2020 4:34,39.0598,-105.3111,32494,1681,4459,26354,8,564.2557672,319565,5401,5.173262756,84000008,USA,5549.221218,16.62153013
Connecticut,US,6/30/2020 4:34,41.5978,-72.7554,46362,4320,8053,33989,9,1300.372172,444976,10268,9.317975929,84000009,USA,12480.79047,22.14744834
Delaware,US,6/30/2020 4:34,39.3185,-75.5071,11376,507,6665,4204,10,1168.250213,109931,,4.456751055,84000010,USA,11289.2857,
Diamond Princess,US,6/30/2020 4:34,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/30/2020 4:34,38.8974,-77.0268,10292,551,1200,8541,11,1458.308832,95360,,5.353672756,84000011,USA,13511.88595,
Florida,US,6/30/2020 4:34,27.7663,-81.6868,146341,3447,,142894,12,681.3613557,1912743,14651,2.355457459,84000012,USA,8905.700819,10.01154837
Georgia,US,6/30/2020 4:34,33.0406,-83.6431,79417,2784,,76633,13,747.9875296,823117,10824,3.505546671,84000013,USA,7752.512074,13.6293237
Grand Princess,US,6/30/2020 4:34,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/30/2020 4:34,13.4443,144.7937,253,5,179,69,66,154.0531818,12914,,1.976284585,316,GUM,7863.410238,
Hawaii,US,6/30/2020 4:34,21.0943,-157.4983,900,18,719,163,15,63.56506803,77155,111,2,84000015,USA,5449.292026,12.33333333
Idaho,US,6/30/2020 4:34,44.2405,-114.4788,5752,91,3898,1763,16,321.8685386,86345,312,1.582058414,84000016,USA,4831.665328,5.424200278
Illinois,US,6/30/2020 4:34,40.3495,-88.9861,142461,6902,,135559,17,1124.234631,1572949,,4.844834727,84000017,USA,12412.96732,
Indiana,US,6/30/2020 4:34,39.8494,-86.2583,45228,2624,34348,8256,18,671.8141522,476519,7024,5.801715751,84000018,USA,7078.186256,15.53020253
Iowa,US,6/30/2020 4:34,42.0115,-93.2105,28845,711,17851,10283,19,914.2427902,300845,,2.464898596,84000019,USA,9535.287648,
Kansas,US,6/30/2020 4:34,38.5266,-96.7265,14209,273,794,13142,20,487.7263488,176725,1152,1.921317475,84000020,USA,6066.115771,8.107537476
Kentucky,US,6/30/2020 4:34,37.6681,-84.6701,15347,560,3939,10848,21,343.5121595,361441,2602,3.648921613,84000021,USA,8090.13999,16.95445364
Louisiana,US,6/30/2020 4:34,31.1695,-91.8678,57081,3199,42225,11657,22,1227.86684,704637,,5.604316673,84000022,USA,15157.41502,
Maine,US,6/30/2020 4:34,44.6939,-69.3819,3219,105,2623,491,23,239.4711548,93523,347,3.261882572,84000023,USA,6957.459091,10.77974526
Maryland,US,6/30/2020 4:34,39.0639,-76.8021,67254,3175,4979,59100,24,1112.430694,529313,10822,4.720908794,84000024,USA,8755.226873,16.09123621
Massachusetts,US,6/30/2020 4:34,42.2302,-71.5301,108768,8094,,100674,25,1578.062425,842287,11345,7.44152692,84000025,USA,12220.33563,10.43045749
Michigan,US,6/30/2020 4:34,43.3266,-84.5361,70223,6161,51099,12963,26,703.1541555,1029375,,8.773478775,84000026,USA,10307.29688,
Minnesota,US,6/30/2020 4:34,45.6945,-93.9002,35861,1470,31225,3166,27,635.874823,592955,4031,4.099160648,84000027,USA,10514.07255,11.24062352
Mississippi,US,6/30/2020 4:34,32.7416,-89.6787,26567,1059,19388,6120,28,892.6636402,283522,3115,3.986148229,84000028,USA,9526.471961,11.72507246
Missouri,US,6/30/2020 4:34,38.4561,-92.2884,20825,1004,,19821,29,339.3115162,367406,,4.821128451,84000029,USA,5986.318699,
Montana,US,6/30/2020 4:34,46.9219,-110.4544,919,22,609,288,30,85.98605136,88743,100,2.39390642,84000030,USA,8303.221062,10.88139282
Nebraska,US,6/30/2020 4:34,41.1254,-98.2681,19042,269,13322,5451,31,984.3838528,175272,1316,1.412666737,84000031,USA,9060.756573,6.911038756
Nevada,US,6/30/2020 4:34,38.3135,-117.0554,17894,504,689,16701,32,580.9446015,273017,,2.816586565,84000032,USA,8863.739369,
New Hampshire,US,6/30/2020 4:34,43.4525,-71.5639,5760,367,4435,958,33,423.6194309,118298,565,6.371527778,84000033,USA,8700.231152,9.809027778
New Jersey,US,6/30/2020 4:34,40.2989,-74.521,171272,14992,30163,126117,34,1928.263187,1403984,19847,8.75332804,84000034,USA,15806.73235,11.58800037
New Mexico,US,6/30/2020 4:34,34.8405,-106.2485,11982,493,5264,6225,35,571.4342944,331048,1865,4.114505091,84000035,USA,15788.0304,15.56501419
New York,US,6/30/2020 4:34,42.1657,-74.9481,393403,31403,70435,291565,36,2021.758381,3862913,89995,7.984409007,84000036,USA,19857.09968,22.88179118
North Carolina,US,6/30/2020 4:34,35.6301,-79.8064,63736,1357,45538,16841,37,607.6991756,886305,,2.129095017,84000037,USA,8450.590213,
North Dakota,US,6/30/2020 4:34,47.5289,-99.784,3539,79,3163,297,38,464.3979099,105691,227,2.232269003,84000038,USA,13869.08152,6.414241311
Northern Mariana Islands,US,6/30/2020 4:34,15.0979,145.6739,30,2,19,9,69,54.40301755,8217,,6.666666667,580,MNP,14900.98651,
Ohio,US,6/30/2020 4:34,40.3888,-82.7649,51046,2818,,48228,39,436.6974361,774382,7746,5.520510912,84000039,USA,6624.821415,15.17454845
Oklahoma,US,6/30/2020 4:34,35.5653,-96.9289,13175,385,9587,3203,40,332.9566984,326193,1489,2.922201139,84000040,USA,8243.502416,11.30170778
Oregon,US,6/30/2020 4:34,44.572,-122.0709,8485,204,2700,5581,41,201.1742316,235133,1025,2.404242781,84000041,USA,5574.86159,12.08014143
Pennsylvania,US,6/30/2020 4:34,40.5908,-77.2098,90467,6614,67070,16783,42,706.6636286,752889,,7.310953165,84000042,USA,5881.031455,
Puerto Rico,US,6/30/2020 4:34,18.2208,-66.5901,7250,153,,7097,72,247.1527997,7250,,2.110344828,630,PRI,247.1527997,
Rhode Island,US,6/30/2020 4:34,41.6809,-71.5118,16764,946,1627,14191,44,1582.463391,238520,1995,5.643044619,84000044,USA,22515.45979,11.90050107
South Carolina,US,6/30/2020 4:34,33.8569,-80.945,34644,720,13456,20468,45,672.8670499,369305,2622,2.078281954,84000045,USA,7172.761975,7.568410114
South Dakota,US,6/30/2020 4:34,44.2998,-99.4388,6716,91,5818,807,46,759.16257,79457,657,1.354973198,84000046,USA,8981.652818,9.782608696
Tennessee,US,6/30/2020 4:34,35.7478,-86.6923,42297,592,26962,14743,47,619.3574801,777206,2599,1.399626451,84000047,USA,11380.67356,6.144643828
Texas,US,6/30/2020 4:34,31.0545,-97.5635,156706,2416,81335,72955,48,540.4422787,1819189,,1.541740584,84000048,USA,6273.956635,
Utah,US,6/30/2020 4:34,40.15,-111.8624,21664,168,12205,9291,49,675.7418531,333905,1417,0.775480059,84000049,USA,10415.13956,6.540805022
Vermont,US,6/30/2020 4:34,44.0459,-72.7107,1208,56,949,203,50,193.5931563,64993,,4.635761589,84000050,USA,10415.72848,
Virgin Islands,US,6/30/2020 4:34,18.3358,-64.8963,81,6,71,4,78,75.51180222,2827,,7.407407407,850,VIR,2635.455122,
Virginia,US,6/30/2020 4:34,37.7693,-78.17,62189,1740,8023,52426,51,728.5907278,636372,8823,2.797922462,84000051,USA,7455.574758,14.18739648
