Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/15/2020 3:33,32.3182,-86.9023,25615,773,13508,11334,1,522.4155319,297455,2255,3.017763029,84000001,USA,6066.566936,8.803435487
Alaska,US,6/15/2020 3:33,61.3707,-152.4044,660,12,411,237,2,90.22001381,73467,,1.818181818,84000002,USA,10042.71781,
American Samoa,US,6/15/2020 3:33,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,6/15/2020 3:33,33.7298,-111.4312,35706,1191,6333,28182,4,490.5534863,338045,3726,3.335573853,84000004,USA,4644.293768,10.43522097
Arkansas,US,6/15/2020 3:33,34.9697,-92.3731,12501,179,8110,4212,5,414.2416141,196989,998,1.431885449,84000005,USA,6527.561101,7.983361331
California,US,6/15/2020 3:33,36.1162,-119.6816,152300,5099,,147201,6,385.4503453,2801996,,3.347997374,84000006,USA,7091.466355,
Colorado,US,6/15/2020 3:33,39.0598,-105.3111,29115,1598,4178,23339,8,505.5796967,244643,5244,5.48857977,84000008,USA,4248.206551,18.01133436
Connecticut,US,6/15/2020 3:33,41.5978,-72.7554,45088,4201,7611,33276,9,1264.638723,349106,9912,9.317334989,84000009,USA,9791.806382,21.98367637
Delaware,US,6/15/2020 3:33,39.3185,-75.5071,10264,422,6172,3670,10,1054.054165,81787,,4.111457521,84000010,USA,8399.057677,
Diamond Princess,US,6/15/2020 3:33,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/15/2020 3:33,38.8974,-77.0268,9767,515,1150,8102,11,1383.919779,64530,,5.272857582,84000011,USA,9143.477355,
Florida,US,6/15/2020 3:33,27.7663,-81.6868,75568,2931,,72637,12,351.8433995,1409015,12224,3.878625873,84000012,USA,6560.351307,16.17615922
Georgia,US,6/15/2020 3:33,33.0406,-83.6431,57681,2451,,55230,13,543.26742,620790,9248,4.24923285,84000013,USA,5846.899007,16.03300914
Grand Princess,US,6/15/2020 3:33,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/15/2020 3:33,13.4443,144.7937,183,5,168,10,66,111.4297718,8543,,2.732240437,316,GUM,5201.882737,
Hawaii,US,6/15/2020 3:33,21.0943,-157.4983,728,17,628,83,15,51.41707725,60322,89,2.335164835,84000015,USA,4260.413371,12.22527473
Idaho,US,6/15/2020 3:33,44.2405,-114.4788,3399,87,2837,475,16,190.2001326,62980,266,2.559576346,84000016,USA,3524.214284,7.825831127
Illinois,US,6/15/2020 3:33,40.3495,-88.9861,132543,6308,,126235,17,1045.966479,1191846,,4.759210219,84000017,USA,9405.483237,
Indiana,US,6/15/2020 3:33,39.8494,-86.2583,39909,2422,28522,8965,18,592.8060273,348391,6419,6.068806535,84000018,USA,5174.980196,16.08409131
Iowa,US,6/15/2020 3:33,42.0115,-93.2105,23926,652,14383,8891,19,758.3349973,224634,,2.725068963,84000019,USA,7119.778642,
Kansas,US,6/15/2020 3:33,38.5266,-96.7265,11101,245,667,10189,20,381.0437186,129152,973,2.207008378,84000020,USA,4433.164431,8.764976128
Kentucky,US,6/15/2020 3:33,37.6681,-84.6701,12445,499,3409,8537,21,278.5566446,294585,2433,4.009642427,84000021,USA,6593.701016,19.55002009
Louisiana,US,6/15/2020 3:33,31.1695,-91.8678,46619,3014,33904,9701,22,1002.819226,509332,,6.465175143,84000022,USA,10956.21789,
Maine,US,6/15/2020 3:33,44.6939,-69.3819,2793,100,2173,520,23,207.7797252,69858,314,3.58037952,84000023,USA,5196.9481,11.24239169
Maryland,US,6/15/2020 3:33,39.0639,-76.8021,61701,2939,4541,54221,24,1020.579984,415309,10165,4.76329395,84000024,USA,6869.516746,16.47461143
Massachusetts,US,6/15/2020 3:33,42.2302,-71.5301,105603,7624,,97979,25,1532.142968,712710,10802,7.21949187,84000025,USA,10340.36547,10.22887607
Michigan,US,6/15/2020 3:33,43.3266,-84.5361,66054,6016,44964,15074,26,661.4092902,813498,,9.107699761,84000026,USA,8145.685875,
Minnesota,US,6/15/2020 3:33,45.6945,-93.9002,30471,1329,26090,3052,27,540.3012111,417710,3610,4.361524072,84000027,USA,7406.688947,11.84733025
Mississippi,US,6/15/2020 3:33,32.7416,-89.6787,19516,891,13356,5269,28,655.7467385,214053,2665,4.56548473,84000028,USA,7192.281032,13.65546218
Missouri,US,6/15/2020 3:33,38.4561,-92.2884,16262,885,,15377,29,264.9644118,275489,,5.442135039,84000029,USA,4488.671802,
Montana,US,6/15/2020 3:33,46.9219,-110.4544,601,19,510,72,30,56.2324449,58907,77,3.161397671,84000030,USA,5511.621684,12.81198003
Nebraska,US,6/15/2020 3:33,41.1254,-98.2681,16730,215,9879,6636,31,864.8640824,136115,1070,1.285116557,84000031,USA,7036.5197,6.395696354
Nevada,US,6/15/2020 3:33,38.3135,-117.0554,11201,463,627,10111,32,363.6504125,210611,,4.133559504,84000032,USA,6837.673157,
New Hampshire,US,6/15/2020 3:33,43.4525,-71.5639,5318,320,3905,1093,33,391.1125232,96421,513,6.017299737,84000033,USA,7091.28631,9.64648364
New Jersey,US,6/15/2020 3:33,40.2989,-74.521,166881,12659,28714,125508,34,1878.827181,1097616,18737,7.585644861,84000034,USA,12357.49292,11.2277611
New Mexico,US,6/15/2020 3:33,34.8405,-106.2485,9723,435,4072,5216,35,463.7001873,258994,1625,4.4739278,84000035,USA,12351.69868,16.71294868
New York,US,6/15/2020 3:33,42.1657,-74.9481,383324,30825,68761,283738,36,1970.45672,2934599,89995,8.041500141,84000036,USA,15085.15073,23.47752815
North Carolina,US,6/15/2020 3:33,35.6301,-79.8064,44264,1132,23653,19479,37,422.0408608,627130,,2.557382975,84000037,USA,5979.452491,
North Dakota,US,6/15/2020 3:33,47.5289,-99.784,3080,74,2658,348,38,404.1665901,86880,197,2.402597403,84000038,USA,11400.64719,6.396103896
Northern Mariana Islands,US,6/15/2020 3:33,15.0979,145.6739,30,2,19,9,69,54.40301755,8169,,6.666666667,580,MNP,14813.94168,
Ohio,US,6/15/2020 3:33,40.3888,-82.7649,41148,2559,,38589,39,352.0202582,546220,6895,6.21901429,84000039,USA,4672.900394,16.75658598
Oklahoma,US,6/15/2020 3:33,35.5653,-96.9289,8231,359,6578,1294,40,208.012644,250818,1116,4.361559956,84000040,USA,6338.636295,13.55849836
Oregon,US,6/15/2020 3:33,44.572,-122.0709,5377,173,2396,2808,41,127.4854264,166189,875,3.217407476,84000041,USA,3940.24094,16.27301469
Pennsylvania,US,6/15/2020 3:33,40.5908,-77.2098,83203,6215,58310,18678,42,649.9224456,583233,,7.469682584,84000042,USA,4555.799884,
Puerto Rico,US,6/15/2020 3:33,18.2208,-66.5901,5811,147,,5664,72,198.0972303,5811,,2.52968508,630,PRI,198.0972303,
Rhode Island,US,6/15/2020 3:33,41.6809,-71.5118,15947,833,1435,13679,44,1505.341428,191518,1853,5.223553019,84000044,USA,18078.6342,11.61974039
South Carolina,US,6/15/2020 3:33,33.8569,-80.945,18795,600,8682,9513,45,365.0426106,248336,1988,3.192338388,84000045,USA,4823.262663,10.57728119
South Dakota,US,6/15/2020 3:33,44.2998,-99.4388,5898,75,4899,924,46,666.6975637,65319,539,1.271617497,84000046,USA,7383.522917,9.138691082
Tennessee,US,6/15/2020 3:33,35.7478,-86.6923,30343,474,19896,9973,47,444.314349,615220,2087,1.562139538,84000047,USA,9008.702956,6.878027881
Texas,US,6/15/2020 3:33,31.0545,-97.5635,88523,1984,58341,28198,48,305.2950866,1295983,,2.241225444,84000048,USA,4469.541726,
Utah,US,6/15/2020 3:33,40.15,-111.8624,14313,139,8252,5922,49,446.4500159,267713,1028,0.971145113,84000049,USA,8350.483693,7.182281842
Vermont,US,6/15/2020 3:33,44.0459,-72.7107,1127,55,909,163,50,180.6121582,50982,,4.880212955,84000050,USA,8170.336336,
Virgin Islands,US,6/15/2020 3:33,18.3358,-64.8963,72,6,64,2,78,67.12160197,2377,,8.333333333,850,VIR,2215.945109,
Virginia,US,6/15/2020 3:33,37.7693,-78.17,54506,1546,7178,45782,51,638.5786266,469000,8136,2.836384985,84000051,USA,5494.686381,14.92679705
Washington,US,6/15/2020 3:33,47.4009,-121.4905,25834,1217,,24617,53,339.2562443,450146,3845,4.710846172,84000053,USA,5911.389694,14.88348688
