Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/26/2020 2:32,32.3182,-86.9023,14986,566,7951,6469,1,305.6380699,190315,1629,3.776858401,84000001,USA,3881.456645,10.87014547
Alaska,US,5/26/2020 2:32,61.3707,-152.4044,408,10,361,37,2,55.77237217,44472,,2.450980392,84000002,USA,6079.188567,
American Samoa,US,5/26/2020 2:32,-14.271,-170.132,0,0,,0,60,0,124,,,16,ASM,222.8572456,
Arizona,US,5/26/2020 2:32,33.7298,-111.4312,16575,807,4204,11564,4,227.7187037,187782,1961,4.868778281,84000004,USA,2579.877745,11.83107089
Arkansas,US,5/26/2020 2:32,34.9697,-92.3731,6029,117,4249,1663,5,199.7810328,111622,605,1.940620335,84000005,USA,3698.782293,10.03483165
California,US,5/26/2020 2:32,36.1162,-119.6816,96400,3769,,92631,6,243.9751365,1644102,,3.909751037,84000006,USA,4160.995953,
Colorado,US,5/26/2020 2:32,39.0598,-105.3111,24256,1333,3666,19257,8,421.2035419,150308,4119,5.495547493,84000008,USA,2610.086658,16.98136544
Connecticut,US,5/26/2020 2:32,41.5978,-72.7554,40873,3742,7127,30004,9,1146.415422,221726,12538,9.155188021,84000009,USA,6219.02248,30.67550706
Delaware,US,5/26/2020 2:32,39.3185,-75.5071,8965,332,4693,3940,10,920.6542858,53896,,3.703290574,84000010,USA,5534.81131,
Diamond Princess,US,5/26/2020 2:32,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,5/26/2020 2:32,38.8974,-77.0268,8225,440,1080,6705,11,1165.428502,40803,,5.349544073,84000011,USA,5781.517225,
Florida,US,5/26/2020 2:32,27.7663,-81.6868,51746,2252,,49494,12,240.9285485,908235,9681,4.35202721,84000012,USA,4228.727636,18.70869246
Georgia,US,5/26/2020 2:32,33.0406,-83.6431,43400,1848,,41552,13,408.7620885,513545,7475,4.258064516,84000013,USA,4836.81398,17.2235023
Grand Princess,US,5/26/2020 2:32,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,5/26/2020 2:32,13.4443,144.7937,166,5,138,23,66,101.0783723,5569,,3.012048193,316,GUM,3390.996718,
Hawaii,US,5/26/2020 2:32,21.0943,-157.4983,643,17,591,35,15,45.41370971,50371,84,2.643856921,84000015,USA,3557.595602,13.06376361
Idaho,US,5/26/2020 2:32,44.2405,-114.4788,2626,79,1755,792,16,146.9448509,41406,225,3.008377761,84000016,USA,2316.983434,8.568164509
Illinois,US,5/26/2020 2:32,40.3495,-88.9861,112017,4885,,107132,17,883.9850247,769564,,4.360945214,84000017,USA,6073.034018,
Indiana,US,5/26/2020 2:32,39.8494,-86.2583,31715,1984,,29731,18,471.092815,226251,5285,6.255714961,84000018,USA,3360.719549,16.6640391
Iowa,US,5/26/2020 2:32,42.0115,-93.2105,17557,456,9377,7724,19,556.4694286,132715,,2.597254656,84000019,USA,4206.404295,
Kansas,US,5/26/2020 2:32,38.5266,-96.7265,9125,207,493,8425,20,313.2171815,81399,800,2.268493151,84000020,USA,2794.03456,8.767123288
Kentucky,US,5/26/2020 2:32,37.6681,-84.6701,8571,391,3102,5078,21,191.8448373,169856,2131,4.561894761,84000021,USA,3801.889709,24.86290981
Louisiana,US,5/26/2020 2:32,31.1695,-91.8678,37809,2691,28700,6418,22,813.3077095,330898,,7.117353011,84000022,USA,7117.932092,
Maine,US,5/26/2020 2:32,44.6939,-69.3819,2074,78,1290,706,23,154.2911386,37524,257,3.760848602,84000023,USA,2791.523956,12.39151398
Maryland,US,5/26/2020 2:32,39.0639,-76.8021,47152,2302,3329,41521,24,779.9288087,249577,8092,4.882083475,84000024,USA,4128.1874,17.16152019
Massachusetts,US,5/26/2020 2:32,42.2302,-71.5301,93271,6416,,86855,25,1353.22393,540561,9339,6.878879823,84000025,USA,7842.738697,10.01275852
Michigan,US,5/26/2020 2:32,43.3266,-84.5361,54881,5241,33168,16472,26,549.5322502,472860,,9.549753102,84000026,USA,4734.822978,
Minnesota,US,5/26/2020 2:32,45.6945,-93.9002,21315,890,14816,5609,27,377.9501925,204059,2676,4.175463289,84000027,USA,3618.303464,12.55453906
Mississippi,US,5/26/2020 2:32,32.7416,-89.6787,13458,635,9401,3422,28,452.1951018,143917,2046,4.718383118,84000028,USA,4835.67859,15.20285332
Missouri,US,5/26/2020 2:32,38.4561,-92.2884,12476,689,,11787,29,203.2773338,157385,,5.522603399,84000029,USA,2564.347802,
Montana,US,5/26/2020 2:32,46.9219,-110.4544,479,16,441,22,30,44.81753928,33682,65,3.340292276,84000030,USA,3151.449599,13.56993737
Nebraska,US,5/26/2020 2:32,41.1254,-98.2681,12362,147,,12215,31,639.0585647,85732,,1.189127973,84000031,USA,4431.95024,
Nevada,US,5/26/2020 2:32,38.3135,-117.0554,7956,394,359,7203,32,258.2986057,114731,,4.952237305,84000032,USA,3724.843807,
New Hampshire,US,5/26/2020 2:32,43.4525,-71.5639,4197,210,2204,1783,33,308.6685332,61386,419,5.003573981,84000033,USA,4514.635831,9.98332142
New Jersey,US,5/26/2020 2:32,40.2989,-74.521,155092,11147,25253,118692,34,1746.100905,623797,,7.187346865,84000034,USA,7023.008965,
New Mexico,US,5/26/2020 2:32,34.8405,-106.2485,7026,320,2464,4242,35,335.0773954,173481,1243,4.554511813,84000035,USA,8273.492974,17.69143182
New York,US,5/26/2020 2:32,42.1657,-74.9481,362764,29229,64280,269255,36,1864.769129,1739449,77525,8.057304473,84000036,USA,8941.545458,21.37064317
North Carolina,US,5/26/2020 2:32,35.6301,-79.8064,24057,790,14954,8313,37,229.3745931,344690,,3.283867481,84000037,USA,3286.491603,
North Dakota,US,5/26/2020 2:32,47.5289,-99.784,2457,54,1551,852,38,322.4147117,66350,154,2.197802198,84000038,USA,8706.640667,6.267806268
Northern Mariana Islands,US,5/26/2020 2:32,15.0979,145.6739,22,2,13,7,69,39.89554621,4757,,9.090909091,580,MNP,8626.50515,
Ohio,US,5/26/2020 2:32,40.3888,-82.7649,32477,1987,,30490,39,277.840039,330334,5511,6.11817594,84000039,USA,2826.000291,16.96893186
Oklahoma,US,5/26/2020 2:32,35.5653,-96.9289,6090,313,4714,1063,40,153.905601,161033,938,5.139573071,84000040,USA,4069.602734,15.40229885
Oregon,US,5/26/2020 2:32,44.572,-122.0709,3949,148,1376,2425,41,93.62840784,113858,747,3.747784249,84000041,USA,2699.504497,18.91618131
Pennsylvania,US,5/26/2020 2:32,40.5908,-77.2098,71925,5146,40911,25868,42,561.8267599,403114,,7.154675009,84000042,USA,3148.838825,
Puerto Rico,US,5/26/2020 2:32,18.2208,-66.5901,3260,129,,3131,72,111.1335348,3260,,3.957055215,630,PRI,111.1335348,
Rhode Island,US,5/26/2020 2:32,41.6809,-71.5118,14065,608,1119,12338,44,1327.687162,132701,1580,4.32278706,84000044,USA,12526.51362,11.23355848
South Carolina,US,5/26/2020 2:32,33.8569,-80.945,10178,440,6063,3675,45,197.6804305,166020,1534,4.323049715,84000045,USA,3224.494505,15.07172332
South Dakota,US,5/26/2020 2:32,44.2998,-99.4388,4586,50,3415,1121,46,518.3918323,35283,370,1.090274749,84000046,USA,3988.316402,8.068033144
Tennessee,US,5/26/2020 2:32,35.7478,-86.6923,20535,338,13073,7124,47,300.6952232,396219,1594,1.645970295,84000047,USA,5801.858321,7.762356952
Texas,US,5/26/2020 2:32,31.0545,-97.5635,56409,1533,35292,19584,48,194.5414247,805654,,2.717651439,84000048,USA,2778.511886,
Utah,US,5/26/2020 2:32,40.15,-111.8624,8521,98,5218,3205,49,265.786389,196468,692,1.150099754,84000049,USA,6128.21503,8.121112545
Vermont,US,5/26/2020 2:32,44.0459,-72.7107,962,54,843,65,50,154.1693844,29669,,5.613305613,84000050,USA,4754.731253,
Virgin Islands,US,5/26/2020 2:32,18.3358,-64.8963,69,6,61,2,78,64.32486855,1412,,8.695652174,850,VIR,1316.329194,
Virginia,US,5/26/2020 2:32,37.7693,-78.17,37727,1208,5145,31374,51,442.0000705,258750,6521,3.201950857,84000051,USA,3031.450109,17.28470326
Washington,US,5/26/2020 2:32,47.4009,-121.4905,20065,1070,,18995,53,263.4968082,326593,3287,5.332668826,84000053,USA,4288.87182,16.38175928
West Virginia,US,5/26/2020 2:32,38.4912,-80.9545,1774,72,1135,567,54,98.98741565,86325,,4.058624577,84000054,USA,4816.848171,
