Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,7/2/2020 4:33,32.3182,-86.9023,38962,972,18866,19124,1,794.62635,413953,2803,2.494738463,84000001,USA,8442.532762,7.19418921
Alaska,US,7/2/2020 4:33,61.3707,-152.4044,975,14,528,433,2,133.2795659,114400,,1.435897436,84000002,USA,15638.13573,
American Samoa,US,7/2/2020 4:33,-14.271,-170.132,0,0,,0,60,0,696,,,16,ASM,1250.876152,
Arizona,US,7/2/2020 4:33,33.7298,-111.4312,84105,1725,9715,72665,4,1155.492101,549596,4837,2.051007669,84000004,USA,7550.726316,5.751144403
Arkansas,US,7/2/2020 4:33,34.9697,-92.3731,21197,277,15163,5757,5,702.3981677,314858,1448,1.306788697,84000005,USA,10433.34822,6.831155352
California,US,7/2/2020 4:33,36.1162,-119.6816,238681,6169,,232512,6,604.0687713,4254176,,2.584621315,84000006,USA,10766.73413,
Colorado,US,7/2/2020 4:33,39.0598,-105.3111,33012,1697,4502,26813,8,573.2507967,327503,5489,5.14055495,84000008,USA,5687.063967,16.62728705
Connecticut,US,7/2/2020 4:33,41.5978,-72.7554,46572,4324,8053,34195,9,1306.262301,477841,10268,9.284548656,84000009,USA,13402.59564,22.04758224
Delaware,US,7/2/2020 4:33,39.3185,-75.5071,11510,509,6676,4325,10,1182.011247,111384,,4.422241529,84000010,USA,11438.5005,
Diamond Princess,US,7/2/2020 4:33,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,7/2/2020 4:33,38.8974,-77.0268,10365,553,1451,8361,11,1468.652453,100035,,5.335262904,84000011,USA,14174.30276,
Florida,US,7/2/2020 4:33,27.7663,-81.6868,158997,3550,,155447,12,740.2874893,1980354,15125,2.23274653,84000012,USA,9220.496554,9.512758102
Georgia,US,7/2/2020 4:33,33.0406,-83.6431,84242,2827,,81415,13,793.4317018,855038,11275,3.355808267,84000013,USA,8053.159415,13.38406021
Grand Princess,US,7/2/2020 4:33,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,7/2/2020 4:33,13.4443,144.7937,267,5,179,83,66,162.5778638,13784,,1.872659176,316,GUM,8393.158334,
Hawaii,US,7/2/2020 4:33,21.0943,-157.4983,926,18,736,172,15,65.40139222,79058,113,1.943844492,84000015,USA,5583.696831,12.20302376
