Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/28/2020 2:32,32.3182,-86.9023,16032,583,7951,7498,1,326.9711422,195794,1719,3.636477046,84000001,USA,3993.200338,10.72230539
Alaska,US,5/28/2020 2:32,61.3707,-152.4044,411,10,364,37,2,56.18246314,46363,,2.433090024,84000002,USA,6337.682576,
American Samoa,US,5/28/2020 2:32,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,5/28/2020 2:32,33.7298,-111.4312,17318,834,4361,12123,4,237.9265467,196266,2031,4.815798591,84000004,USA,2696.436748,11.72768218
Arkansas,US,5/28/2020 2:32,34.9697,-92.3731,6277,120,4424,1733,5,207.998929,115596,627,1.911741278,84000005,USA,3830.467452,9.988848176
California,US,5/28/2020 2:32,36.1162,-119.6816,101050,3895,,97155,6,255.7436467,1736894,,3.854527462,84000006,USA,4395.839738,
Colorado,US,5/28/2020 2:32,39.0598,-105.3111,24754,1392,3741,19621,8,429.8512729,159420,4160,5.623333603,84000008,USA,2768.315825,16.80536479
Connecticut,US,5/28/2020 2:32,41.5978,-72.7554,41288,3803,7127,30358,9,1158.055438,225362,12538,9.210908739,84000009,USA,6321.005855,30.3671769
Delaware,US,5/28/2020 2:32,39.3185,-75.5071,9096,344,4909,3843,10,934.1072375,55421,,3.781882146,84000010,USA,5691.420098,
Diamond Princess,US,5/28/2020 2:32,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,5/28/2020 2:32,38.8974,-77.0268,8406,445,1082,6879,11,1191.075014,42697,,5.293837735,84000011,USA,6049.884591,
Florida,US,5/28/2020 2:32,27.7663,-81.6868,52634,2319,,50315,12,245.0630623,933571,9899,4.405897329,84000012,USA,4346.691646,18.80723487
Georgia,US,5/28/2020 2:32,33.0406,-83.6431,44638,1933,,42705,13,420.4221684,440756,7666,4.330391147,84000013,USA,4151.252145,17.1737085
Grand Princess,US,5/28/2020 2:32,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,5/28/2020 2:32,13.4443,144.7937,170,5,143,22,66,103.5139957,5685,,2.941176471,316,GUM,3461.629797,
Hawaii,US,5/28/2020 2:32,21.0943,-157.4983,644,17,593,34,15,45.48433757,51202,83,2.639751553,84000015,USA,3616.287348,12.88819876
Idaho,US,5/28/2020 2:32,44.2405,-114.4788,2699,81,2100,518,16,151.0297611,43017,231,3.001111523,84000016,USA,2407.131246,8.558725454
Illinois,US,5/28/2020 2:32,40.3495,-88.9861,114306,5083,,109223,17,902.0487269,803973,,4.446835687,84000017,USA,6344.573523,
Indiana,US,5/28/2020 2:32,39.8494,-86.2583,32437,2030,,30407,18,481.8173622,235333,5285,6.258285291,84000018,USA,3495.623063,16.29312205
Iowa,US,5/28/2020 2:32,42.0115,-93.2105,18369,496,10016,7857,19,582.2057831,139526,,2.700201426,84000019,USA,4422.279062,
Kansas,US,5/28/2020 2:32,38.5266,-96.7265,9291,213,534,8544,20,318.9151598,84488,822,2.292541169,84000020,USA,2900.065012,8.847271553
Kentucky,US,5/28/2020 2:32,37.6681,-84.6701,9077,400,3124,5553,21,203.1706439,182101,2136,4.406742316,84000021,USA,4075.96975,23.53200397
Louisiana,US,5/28/2020 2:32,31.1695,-91.8678,38497,2723,28700,7074,22,828.1072467,347647,,7.073278437,84000022,USA,7478.219082,
Maine,US,5/28/2020 2:32,44.6939,-69.3819,2137,81,1357,699,23,158.9778993,45617,260,3.790360318,84000023,USA,3393.586726,12.16658868
Maryland,US,5/28/2020 2:32,39.0639,-76.8021,48423,2392,3401,42630,24,800.9520848,262055,8281,4.939801334,84000024,USA,4334.58271,17.10137744
Massachusetts,US,5/28/2020 2:32,42.2302,-71.5301,94220,6547,,87673,25,1366.992513,545481,9388,6.948630864,84000025,USA,7914.120603,9.963914243
Michigan,US,5/28/2020 2:32,43.3266,-84.5361,55608,5334,33168,17106,26,556.8118178,494252,,9.592145015,84000026,USA,4949.024503,
Minnesota,US,5/28/2020 2:32,45.6945,-93.9002,22464,942,16314,5208,27,398.3238623,216532,2796,4.193376068,84000027,USA,3839.470377,12.4465812
Mississippi,US,5/28/2020 2:32,32.7416,-89.6787,14044,670,9401,3973,28,471.8849762,148132,2106,4.770720592,84000028,USA,4977.304564,14.99572771
Missouri,US,5/28/2020 2:32,38.4561,-92.2884,12816,689,,12127,29,208.8171136,165521,,5.376092385,84000029,USA,2696.911475,
Montana,US,5/28/2020 2:32,46.9219,-110.4544,481,17,444,20,30,45.00466888,35643,66,3.534303534,84000030,USA,3334.930173,13.72141372
Nebraska,US,5/28/2020 2:32,41.1254,-98.2681,12984,153,,12831,31,671.213105,90421,,1.178373383,84000031,USA,4674.349982,
Nevada,US,5/28/2020 2:32,38.3135,-117.0554,8150,402,401,7347,32,264.5969879,128559,,4.932515337,84000032,USA,4173.782107,
New Hampshire,US,5/28/2020 2:32,43.4525,-71.5639,4286,223,2550,1513,33,315.2140418,64232,421,5.202986468,84000033,USA,4723.945015,9.822678488
New Jersey,US,5/28/2020 2:32,40.2989,-74.521,156628,11339,25552,119737,34,1763.393938,660325,16597,7.239446331,84000034,USA,7434.258893,10.59644508
New Mexico,US,5/28/2020 2:32,34.8405,-106.2485,7252,329,2564,4359,35,345.8555753,180646,1282,4.536679537,84000035,USA,8615.199427,17.67788196
New York,US,5/28/2020 2:32,42.1657,-74.9481,364965,29484,64632,270849,36,1876.083253,1811544,77838,8.078582878,84000036,USA,9312.145987,21.32752456
North Carolina,US,5/28/2020 2:32,35.6301,-79.8064,24916,844,14954,9118,37,237.5648403,364156,,3.387381602,84000037,USA,3472.09271,
North Dakota,US,5/28/2020 2:32,47.5289,-99.784,2439,56,1762,621,38,320.0526991,67340,161,2.29602296,84000038,USA,8836.551357,6.601066011
Northern Mariana Islands,US,5/28/2020 2:32,15.0979,145.6739,22,2,13,7,69,39.89554621,5200,,9.090909091,580,MNP,9429.856376,
Ohio,US,5/28/2020 2:32,40.3888,-82.7649,33439,2044,,31395,39,286.0699284,349725,5700,6.112622985,84000039,USA,2991.88988,17.04596429
Oklahoma,US,5/28/2020 2:32,35.5653,-96.9289,6229,322,5135,772,40,157.418389,178638,941,5.16936908,84000040,USA,4514.513753,15.10675871
Oregon,US,5/28/2020 2:32,44.572,-122.0709,4038,148,1795,2095,41,95.73854415,116992,759,3.665180783,84000041,USA,2773.809747,18.79643388
Pennsylvania,US,5/28/2020 2:32,40.5908,-77.2098,73557,5265,43038,25254,42,574.574779,419407,,7.157714426,84000042,USA,3276.108111,
Puerto Rico,US,5/28/2020 2:32,18.2208,-66.5901,3397,129,,3268,72,115.8038704,3397,,3.797468354,630,PRI,115.8038704,
Rhode Island,US,5/28/2020 2:32,41.6809,-71.5118,14353,655,1175,12523,44,1354.873362,138383,1624,4.563505887,84000044,USA,13062.8747,11.31470773
South Carolina,US,5/28/2020 2:32,33.8569,-80.945,10623,466,6102,4055,45,206.3233654,175683,1618,4.386708086,84000045,USA,3412.172438,15.23110233
South Dakota,US,5/28/2020 2:32,44.2998,-99.4388,4710,54,3619,1037,46,532.4085326,38006,391,1.146496815,84000046,USA,4296.118617,8.3014862
Tennessee,US,5/28/2020 2:32,35.7478,-86.6923,21285,353,13916,7016,47,311.6775177,409630,1647,1.658444914,84000047,USA,5998.23639,7.737843552
Texas,US,5/28/2020 2:32,31.0545,-97.5635,58542,1581,37626,19335,48,201.8976419,855674,,2.700625192,84000048,USA,2951.019146,
Utah,US,5/28/2020 2:32,40.15,-111.8624,8706,105,5499,3102,49,271.556895,200626,716,1.206064783,84000049,USA,6257.911052,8.224213186
Vermont,US,5/28/2020 2:32,44.0459,-72.7107,971,54,849,68,50,155.6117175,30999,,5.561277034,84000050,USA,4967.876036,
Virgin Islands,US,5/28/2020 2:32,18.3358,-64.8963,69,6,61,2,78,64.32486855,1511,,8.695652174,850,VIR,1408.621397,
Virginia,US,5/28/2020 2:32,37.7693,-78.17,40249,1281,5367,33601,51,471.54719,277047,6826,3.182687769,84000051,USA,3245.813172,16.95942756
Washington,US,5/28/2020 2:32,47.4009,-121.4905,20406,1095,,19311,53,267.974875,332791,3338,5.366068803,84000053,USA,4370.264953,16.35793394
West Virginia,US,5/28/2020 2:32,38.4912,-80.9545,1899,74,1191,634,54,105.9622899,88461,,3.896787783,84000054,USA,4936.034823,
