Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/25/2020 2:32,32.3182,-86.9023,14478,551,7951,5976,1,295.2774574,185799,1612,3.805774278,84000001,USA,3789.353247,11.13413455
Alaska,US,5/25/2020 2:32,61.3707,-152.4044,407,10,358,39,2,55.63567518,43507,,2.457002457,84000002,USA,5947.275971,
American Samoa,US,5/25/2020 2:32,-14.271,-170.132,0,0,,0,60,0,124,,,16,ASM,222.8572456,
Arizona,US,5/25/2020 2:32,33.7298,-111.4312,16377,801,4132,11444,4,224.9984441,183641,1945,4.891005679,84000004,USA,2522.98585,11.87641204
Arkansas,US,5/25/2020 2:32,34.9697,-92.3731,5922,116,4148,1658,5,196.2354083,108581,598,1.958797703,84000005,USA,3598.013655,10.09793989
California,US,5/25/2020 2:32,36.1162,-119.6816,94020,3754,,90266,6,237.951684,1582745,,3.992767496,84000006,USA,4005.709828,
Colorado,US,5/25/2020 2:32,39.0598,-105.3111,24174,1332,3640,19202,8,419.7796183,150051,4105,5.510052122,84000008,USA,2605.623873,16.98105402
Connecticut,US,5/25/2020 2:32,41.5978,-72.7554,40468,3693,7127,29648,9,1135.055888,214136,12538,9.125728971,84000009,USA,6006.136392,30.9825047
Delaware,US,5/25/2020 2:32,39.3185,-75.5071,8809,326,4598,3885,10,904.633977,51870,,3.700760586,84000010,USA,5326.752683,
Diamond Princess,US,5/25/2020 2:32,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,5/25/2020 2:32,38.8974,-77.0268,8110,432,1075,6603,11,1149.133757,51991,,5.32675709,84000011,USA,7366.783375,
Florida,US,5/25/2020 2:32,27.7663,-81.6868,50867,2237,,48630,12,236.8359385,871235,9638,4.397743134,84000012,USA,4056.456227,18.9474512
Georgia,US,5/25/2020 2:32,33.0406,-83.6431,42902,1827,,41075,13,404.0716848,481954,7439,4.258542725,84000013,USA,4539.274737,17.33951797
Grand Princess,US,5/25/2020 2:32,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,5/25/2020 2:32,13.4443,144.7937,166,5,138,23,66,101.0783723,5569,,3.012048193,316,GUM,3390.996718,
Hawaii,US,5/25/2020 2:32,21.0943,-157.4983,643,17,589,37,15,45.41370971,49572,84,2.643856921,84000015,USA,3501.163947,13.06376361
Idaho,US,5/25/2020 2:32,44.2405,-114.4788,2626,79,1755,792,16,146.9448509,41406,225,3.008377761,84000016,USA,2316.983434,8.568164509
Illinois,US,5/25/2020 2:32,40.3495,-88.9861,110304,4856,,105448,17,870.4668413,747921,,4.40237888,84000017,USA,5902.237729,
Indiana,US,5/25/2020 2:32,39.8494,-86.2583,31376,1976,,29400,18,466.0573282,220801,5285,6.297807241,84000018,USA,3279.765557,16.84408465
Iowa,US,5/25/2020 2:32,42.0115,-93.2105,17251,456,9318,7477,19,546.7707531,127756,,2.643325025,84000019,USA,4049.228702,
Kansas,US,5/25/2020 2:32,38.5266,-96.7265,9004,205,485,8314,20,309.0638359,76434,787,2.276765882,84000020,USA,2623.610088,8.740559751
Kentucky,US,5/25/2020 2:32,37.6681,-84.6701,8571,391,3102,5078,21,191.8448373,169856,2131,4.561894761,84000021,USA,3801.889709,24.86290981
Louisiana,US,5/25/2020 2:32,31.1695,-91.8678,37169,2691,26249,8229,22,799.5406981,316036,,7.239904221,84000022,USA,6798.236274,
Maine,US,5/25/2020 2:32,44.6939,-69.3819,2055,78,1263,714,23,152.8776711,37505,252,3.795620438,84000023,USA,2790.110489,12.26277372
Maryland,US,5/25/2020 2:32,39.0639,-76.8021,46313,2277,3319,40717,24,766.0511307,240362,7939,4.91654611,84000024,USA,3975.764513,17.14205515
Massachusetts,US,5/25/2020 2:32,42.2302,-71.5301,92675,6372,,86303,25,1344.576854,532373,9308,6.87564068,84000025,USA,7723.942957,10.04370111
Michigan,US,5/25/2020 2:32,43.3266,-84.5361,54679,5228,33168,16283,26,547.5095919,451232,,9.561257521,84000026,USA,4518.258347,
Minnesota,US,5/25/2020 2:32,45.6945,-93.9002,20573,878,14115,5580,27,364.7933057,197964,2588,4.267729548,84000027,USA,3510.229036,12.57959461
Mississippi,US,5/25/2020 2:32,32.7416,-89.6787,13260,625,7681,4954,28,445.5422091,137902,2023,4.713423831,84000028,USA,4633.571773,15.25641026
Missouri,US,5/25/2020 2:32,38.4561,-92.2884,12149,686,,11463,29,197.949369,151619,,5.646555272,84000029,USA,2470.399653,
Montana,US,5/25/2020 2:32,46.9219,-110.4544,479,16,441,22,30,44.81753928,33381,65,3.340292276,84000030,USA,3123.286595,13.56993737
Nebraska,US,5/25/2020 2:32,41.1254,-98.2681,12134,147,,11987,31,627.2720129,83205,,1.211471897,84000031,USA,4301.315958,
Nevada,US,5/25/2020 2:32,38.3135,-117.0554,7881,380,359,7142,32,255.863664,110281,,4.821723132,84000032,USA,3580.370605,
New Hampshire,US,5/25/2020 2:32,43.4525,-71.5639,4149,209,2197,1743,33,305.1383713,59539,419,5.0373584,84000033,USA,4378.798142,10.09881899
New Jersey,US,5/25/2020 2:32,40.2989,-74.521,154154,11138,25040,117976,34,1735.540447,603807,,7.22524229,84000034,USA,6797.951856,
New Mexico,US,5/25/2020 2:32,34.8405,-106.2485,6943,317,2357,4269,35,331.1190374,169119,1139,4.565749676,84000035,USA,8065.464566,16.40501224
New York,US,5/25/2020 2:32,42.1657,-74.9481,361515,29141,64080,268294,36,1858.348711,1699826,77295,8.06079969,84000036,USA,8737.865525,21.38085557
North Carolina,US,5/25/2020 2:32,35.6301,-79.8064,23365,784,11637,10944,37,222.7766292,336656,,3.35544618,84000037,USA,3209.890386,
North Dakota,US,5/25/2020 2:32,47.5289,-99.784,2418,53,1496,869,38,317.2970178,65488,152,2.191894127,84000038,USA,8593.526511,6.286186931
Northern Mariana Islands,US,5/25/2020 2:32,15.0979,145.6739,22,2,13,7,69,39.89554621,4757,,9.090909091,580,MNP,8626.50515,
Ohio,US,5/25/2020 2:32,40.3888,-82.7649,31911,1969,,29942,39,272.9979211,324553,5476,6.170286108,84000039,USA,2776.54396,17.16022688
Oklahoma,US,5/25/2020 2:32,35.5653,-96.9289,6037,311,4688,1038,40,152.5661927,160980,938,5.151565347,84000040,USA,4068.263326,15.53751864
Oregon,US,5/25/2020 2:32,44.572,-122.0709,3927,148,1376,2403,41,93.10680111,112195,742,3.768780239,84000041,USA,2660.07577,18.89483066
Pennsylvania,US,5/25/2020 2:32,40.5908,-77.2098,71563,5136,40627,25800,42,558.9990743,396095,,7.176893087,84000042,USA,3094.011407,
Puerto Rico,US,5/25/2020 2:32,18.2208,-66.5901,3189,127,,3062,72,108.7131418,3189,,3.982439636,630,PRI,108.7131418,
Rhode Island,US,5/25/2020 2:32,41.6809,-71.5118,14065,608,1119,12338,44,1327.687162,132701,1580,4.32278706,84000044,USA,12526.51362,11.23355848
South Carolina,US,5/25/2020 2:32,33.8569,-80.945,10096,435,5743,3918,45,196.0877998,163947,1534,4.308637084,84000045,USA,3184.232024,15.19413629
South Dakota,US,5/25/2020 2:32,44.2998,-99.4388,4563,50,3371,1142,46,515.7919605,34905,364,1.095770327,84000046,USA,3945.588074,7.977207977
Tennessee,US,5/25/2020 2:32,35.7478,-86.6923,20111,336,12837,6938,47,294.486566,383576,1583,1.670727463,84000047,USA,5616.726122,7.871314206
Texas,US,5/25/2020 2:32,31.0545,-97.5635,55861,1528,33385,20948,48,192.6515011,763766,,2.735360985,84000048,USA,2634.049988,
Utah,US,5/25/2020 2:32,40.15,-111.8624,8392,97,5081,3214,49,261.7626307,194433,688,1.155862726,84000049,USA,6064.739463,8.19828408
Vermont,US,5/25/2020 2:32,44.0459,-72.7107,956,54,839,63,50,153.207829,28590,,5.648535565,84000050,USA,4581.811538,
Virgin Islands,US,5/25/2020 2:32,18.3358,-64.8963,69,6,61,2,78,64.32486855,1412,,8.695652174,850,VIR,1316.329194,
Virginia,US,5/25/2020 2:32,37.7693,-78.17,36244,1171,5102,29971,51,424.6256144,244085,6453,3.230879594,84000051,USA,2859.638646,17.80432623
Washington,US,5/25/2020 2:32,47.4009,-121.4905,19828,1061,,18767,53,260.384486,316276,3256,5.351018761,84000053,USA,4153.387316,16.42122251
West Virginia,US,5/25/2020 2:32,38.4912,-80.9545,1759,72,1121,566,54,98.15043074,85694,,4.093234792,84000054,USA,4781.639006,
Wisconsin,US,5/25/2020 2:32,44.2685,-89.6165,15277,510,8999,5768,55,262.3816775,201483,2315,3.338351771,84000055,USA,3460.460007,15.15349872
Wyoming,US,5/25/2020 2:32,42.756,-107.3025,838,12,556,270,56,144.7925648,20034,78,1.431980907,84000056,USA,3461.544443,9.307875895
