Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/16/2020 4:33,32.3182,-86.9023,26272,774,13508,11990,1,535.8149856,302674,2259,2.946102314,84000001,USA,6173.007953,8.598507917
Alaska,US,6/16/2020 4:33,61.3707,-152.4044,663,12,417,234,2,90.63010478,74437,,1.809954751,84000002,USA,10175.31389,
American Samoa,US,6/16/2020 4:33,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,6/16/2020 4:33,33.7298,-111.4312,36844,1203,6462,29179,4,506.1881098,345257,3750,3.265117794,84000004,USA,4743.377164,10.17804799
Arkansas,US,6/16/2020 4:33,34.9697,-92.3731,12917,182,8352,4383,5,428.0264722,204138,1003,1.408995897,84000005,USA,6764.455213,7.764960904
California,US,6/16/2020 4:33,36.1162,-119.6816,155726,5114,,150612,6,394.12108,2868182,,3.283973132,84000006,USA,7258.974014,
Colorado,US,6/16/2020 4:33,39.0598,-105.3111,29284,1605,4196,23483,8,508.5143684,249085,5244,5.480808633,84000008,USA,4325.341533,17.9073897
Connecticut,US,6/16/2020 4:33,41.5978,-72.7554,45235,4204,7611,33420,9,1268.761814,356377,9912,9.293688516,84000009,USA,9995.745083,21.9122361
Delaware,US,6/16/2020 4:33,39.3185,-75.5071,10340,423,6172,3745,10,1061.858931,84686,,4.090909091,84000010,USA,8696.768416,
Diamond Princess,US,6/16/2020 4:33,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/16/2020 4:33,38.8974,-77.0268,9799,515,1155,8129,11,1388.453969,65846,,5.25563833,84000011,USA,9329.945916,
Florida,US,6/16/2020 4:33,27.7663,-81.6868,77326,2938,,74388,12,360.0286194,1430184,12298,3.799498228,84000012,USA,6658.913832,15.90409435
Georgia,US,6/16/2020 4:33,33.0406,-83.6431,58414,2494,,55920,13,550.1711668,630496,9322,4.269524429,84000013,USA,5938.314787,15.9585031
Grand Princess,US,6/16/2020 4:33,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/16/2020 4:33,13.4443,144.7937,185,5,169,11,66,112.6475836,8758,,2.702702703,316,GUM,5332.797496,
Hawaii,US,6/16/2020 4:33,21.0943,-157.4983,736,17,629,90,15,51.98210008,61474,91,2.309782609,84000015,USA,4341.776658,12.36413043
Idaho,US,6/16/2020 4:33,44.2405,-114.4788,3399,87,2837,475,16,190.2001326,62980,266,2.559576346,84000016,USA,3524.214284,7.825831127
Illinois,US,6/16/2020 4:33,40.3495,-88.9861,133016,6326,,126690,17,1049.699171,1210473,,4.755818849,84000017,USA,9552.478685,
Indiana,US,6/16/2020 4:33,39.8494,-86.2583,40430,2433,28744,9253,18,600.5449318,355829,6451,6.017808558,84000018,USA,5285.463827,15.95597329
Iowa,US,6/16/2020 4:33,42.0115,-93.2105,24082,658,14625,8799,19,763.2794201,227388,,2.732331202,84000019,USA,7207.066721,
Kansas,US,6/16/2020 4:33,38.5266,-96.7265,11319,246,676,10397,20,388.5266058,136962,988,2.173336867,84000020,USA,4701.244013,8.72868628
Kentucky,US,6/16/2020 4:33,37.6681,-84.6701,12647,505,3416,8726,21,283.078014,295851,2433,3.993041828,84000021,USA,6622.037915,19.2377639
Louisiana,US,6/16/2020 4:33,31.1695,-91.8678,47172,3018,37017,7137,22,1014.714784,518725,,6.397863139,84000022,USA,11158.2703,
Maine,US,6/16/2020 4:33,44.6939,-69.3819,2810,101,2189,520,23,209.0444067,70971,317,3.59430605,84000023,USA,5279.74754,11.28113879
Maryland,US,6/16/2020 4:33,39.0639,-76.8021,62032,2947,4567,54518,24,1026.054968,421108,10222,4.750773794,84000024,USA,6965.436477,16.47859169
Massachusetts,US,6/16/2020 4:33,42.2302,-71.5301,105690,7647,,98043,25,1533.405209,717231,10817,7.235310815,84000025,USA,10405.95847,10.2346485
Michigan,US,6/16/2020 4:33,43.3266,-84.5361,66085,6018,44964,15103,26,661.7196982,824037,,9.106453809,84000026,USA,8251.214571,
Minnesota,US,6/16/2020 4:33,45.6945,-93.9002,30693,1335,26609,2749,27,544.2376382,422922,3630,4.349525951,84000027,USA,7499.106325,11.8268009
Mississippi,US,6/16/2020 4:33,32.7416,-89.6787,19799,895,15323,3581,28,665.255671,230503,2680,4.520430325,84000028,USA,7745.008734,13.53603717
Missouri,US,6/16/2020 4:33,38.4561,-92.2884,16611,887,,15724,29,270.6508329,279941,,5.339835049,84000029,USA,4561.210331,
Montana,US,6/16/2020 4:33,46.9219,-110.4544,609,19,510,80,30,56.98096331,60937,78,3.119868637,84000030,USA,5701.558228,12.80788177
Nebraska,US,6/16/2020 4:33,41.1254,-98.2681,16851,220,10121,6510,31,871.1192261,137755,1075,1.305560501,84000031,USA,7121.30016,6.379443356
Nevada,US,6/16/2020 4:33,38.3135,-117.0554,11315,465,636,10214,32,367.3515238,216434,,4.109589041,84000032,USA,7026.722023,
New Hampshire,US,6/16/2020 4:33,43.4525,-71.5639,5345,320,4041,984,33,393.0982393,98873,519,5.986903648,84000033,USA,7271.618748,9.710009355
New Jersey,US,6/16/2020 4:33,40.2989,-74.521,167103,12708,28819,125576,34,1881.326565,1116083,18755,7.604890397,84000034,USA,12565.40335,11.22361657
New Mexico,US,6/16/2020 4:33,34.8405,-106.2485,9845,440,4114,5291,35,469.5184967,263665,1625,4.469273743,84000035,USA,12574.46363,16.50584053
New York,US,6/16/2020 4:33,42.1657,-74.9481,383944,30856,68851,284237,36,1973.643797,2991210,89995,8.036588669,84000036,USA,15376.15658,23.43961619
North Carolina,US,6/16/2020 4:33,35.6301,-79.8064,45114,1140,29219,14755,37,430.1452963,638479,,2.526931773,84000037,USA,6087.661007,
North Dakota,US,6/16/2020 4:33,47.5289,-99.784,3101,74,2683,344,38,406.9222714,87776,197,2.386326991,84000038,USA,11518.22293,6.352789423
Northern Mariana Islands,US,6/16/2020 4:33,15.0979,145.6739,30,2,19,9,69,54.40301755,8169,,6.666666667,580,MNP,14813.94168,
