Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/31/2020 2:32,32.3182,-86.9023,17359,618,9355,7386,1,354.0351833,212201,1826,3.56011291,84000001,USA,4327.81957,10.51903912
Alaska,US,5/31/2020 2:32,61.3707,-152.4044,433,10,368,55,2,59.18979694,51695,,2.309468822,84000002,USA,7066.55093,
American Samoa,US,5/31/2020 2:32,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,5/31/2020 2:32,33.7298,-111.4312,19258,904,4657,13697,4,264.5795956,217047,2980,4.694153079,84000004,USA,2981.940361,15.47408869
Arkansas,US,5/31/2020 2:32,34.9697,-92.3731,7013,133,5166,1714,5,232.3875242,126497,702,1.896477969,84000005,USA,4191.690381,10.00998146
California,US,5/31/2020 2:32,36.1162,-119.6816,109895,4144,,105751,6,278.1291248,1888595,,3.770872196,84000006,USA,4779.774097,
Colorado,US,5/31/2020 2:32,39.0598,-105.3111,26084,1443,3859,20782,8,452.9466188,175741,4307,5.532126974,84000008,USA,3051.728713,16.51203803
Connecticut,US,5/31/2020 2:32,41.5978,-72.7554,42022,3912,7127,30983,9,1178.642841,246935,12538,9.309409357,84000009,USA,6926.090382,29.83675218
Delaware,US,5/31/2020 2:32,39.3185,-75.5071,9422,361,5205,3856,10,967.5855751,59329,,3.831458289,84000010,USA,6092.749373,
Diamond Princess,US,5/31/2020 2:32,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,5/31/2020 2:32,38.8974,-77.0268,8717,462,1100,7155,11,1235.141672,45629,,5.299988528,84000011,USA,6465.329742,
Florida,US,5/31/2020 2:32,27.7663,-81.6868,55424,2447,,52977,12,258.0532577,994968,10375,4.41505485,84000012,USA,4632.555096,18.71932737
Georgia,US,5/31/2020 2:32,33.0406,-83.6431,46331,2004,,44327,13,436.3676572,454838,7921,4.325397682,84000013,USA,4283.883198,17.09654443
Grand Princess,US,5/31/2020 2:32,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,5/31/2020 2:32,13.4443,144.7937,172,5,144,23,66,104.7318074,6102,,2.906976744,316,GUM,3715.54354,
Hawaii,US,5/31/2020 2:32,21.0943,-157.4983,651,17,605,29,15,45.97873254,54014,83,2.611367127,84000015,USA,3814.892872,12.74961598
Idaho,US,5/31/2020 2:32,44.2405,-114.4788,2803,82,2225,496,16,156.8493591,45424,240,2.925437032,84000016,USA,2541.821366,8.562254727
Illinois,US,5/31/2020 2:32,40.3495,-88.9861,118917,5330,,113587,17,938.4365515,877105,,4.48211778,84000017,USA,6921.696574,
Indiana,US,5/31/2020 2:32,39.8494,-86.2583,34211,2125,,32086,18,508.1682577,256395,5285,6.211452457,84000018,USA,3808.476819,15.44824764
Iowa,US,5/31/2020 2:32,42.0115,-93.2105,19244,531,11019,7694,19,609.9389237,150423,,2.7593016,84000019,USA,4767.659672,
Kansas,US,5/31/2020 2:32,38.5266,-96.7265,9690,215,547,8928,20,332.6109029,94949,842,2.21878225,84000020,USA,3259.140621,8.689370485
Kentucky,US,5/31/2020 2:32,37.6681,-84.6701,9704,431,3231,6042,21,217.2047954,208195,2266,4.441467436,84000021,USA,4660.032191,23.35119538
Louisiana,US,5/31/2020 2:32,31.1695,-91.8678,39577,2786,28700,8091,22,851.3390785,368819,,7.0394421,84000022,USA,7933.649028,
Maine,US,5/31/2020 2:32,44.6939,-69.3819,2282,89,1505,688,23,169.7648883,49566,272,3.900087642,84000023,USA,3687.364791,11.91936897
Maryland,US,5/31/2020 2:32,39.0639,-76.8021,52015,2509,3649,45857,24,860.3664104,293946,8619,4.823608574,84000024,USA,4862.083339,16.57022013
Massachusetts,US,5/31/2020 2:32,42.2302,-71.5301,96301,6768,,89533,25,1397.184738,582519,9789,7.027964403,84000025,USA,8451.487072,10.16500348
Michigan,US,5/31/2020 2:32,43.3266,-84.5361,56969,5464,38099,13406,26,570.4397289,538812,,9.591181169,84000026,USA,5395.210926,
Minnesota,US,5/31/2020 2:32,45.6945,-93.9002,24190,1036,17864,5290,27,428.9286961,242508,3011,4.282761472,84000027,USA,4300.067806,12.44729227
Mississippi,US,5/31/2020 2:32,32.7416,-89.6787,15229,723,9401,5105,28,511.7015311,165932,2240,4.747521177,84000028,USA,5575.392899,14.7087793
Missouri,US,5/31/2020 2:32,38.4561,-92.2884,13298,774,,12524,29,216.6705662,185430,,5.820424124,84000029,USA,3021.298172,
Montana,US,5/31/2020 2:32,46.9219,-110.4544,505,17,448,40,30,47.25022409,39284,67,3.366336634,84000030,USA,3675.59961,13.26732673
Nebraska,US,5/31/2020 2:32,41.1254,-98.2681,13905,170,,13735,31,718.8245706,99008,,1.222581805,84000031,USA,5118.258403,
Nevada,US,5/31/2020 2:32,38.3135,-117.0554,8517,417,428,7672,32,276.5119689,138532,,4.896090173,84000032,USA,4497.564409,
New Hampshire,US,5/31/2020 2:32,43.4525,-71.5639,4492,238,2802,1452,33,330.3643201,68960,440,5.298308103,84000033,USA,5071.665964,9.795191451
New Jersey,US,5/31/2020 2:32,40.2989,-74.521,159608,11634,26301,121673,34,1796.944222,745308,17121,7.289108315,84000034,USA,8391.038697,10.72690592
New Mexico,US,5/31/2020 2:32,34.8405,-106.2485,7624,351,2728,4545,35,363.59665,188261,1317,4.603882476,84000035,USA,8978.366858,17.27439664
New York,US,5/31/2020 2:32,42.1657,-74.9481,369660,29710,65609,274341,36,1900.217652,2005381,89400,8.037115187,84000036,USA,10308.55482,24.18438565
North Carolina,US,5/31/2020 2:32,35.6301,-79.8064,27794,929,14954,11911,37,265.0055053,404157,,3.34244801,84000037,USA,3853.487443,
North Dakota,US,5/31/2020 2:32,47.5289,-99.784,2554,60,1943,551,38,335.1433348,70981,165,2.349256069,84000038,USA,9314.334004,6.46045419
Northern Mariana Islands,US,5/31/2020 2:32,15.0979,145.6739,22,2,15,5,69,39.89554621,6008,,9.090909091,580,MNP,10895.11098,
