Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/29/2020 2:32,32.3182,-86.9023,16530,591,9355,6584,1,337.1278057,200481,1765,3.575317604,84000001,USA,4088.791265,10.67755596
Alaska,US,5/29/2020 2:32,61.3707,-152.4044,424,10,366,48,2,57.95952402,47970,,2.358490566,84000002,USA,6557.35464,
American Samoa,US,5/29/2020 2:32,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,5/29/2020 2:32,33.7298,-111.4312,17877,860,4452,12565,4,245.6064716,202914,2848,4.810650557,84000004,USA,2787.771526,15.93108463
Arkansas,US,5/29/2020 2:32,34.9697,-92.3731,6538,125,4583,1830,5,216.647602,118902,640,1.911899664,84000005,USA,3940.017311,9.788926277
California,US,5/29/2020 2:32,36.1162,-119.6816,103813,3993,,99820,6,262.7364196,1790559,,3.84633909,84000006,USA,4531.658469,
Colorado,US,5/29/2020 2:32,39.0598,-105.3111,25107,1421,3783,19903,8,435.9810903,163123,4196,5.659776158,84000008,USA,2832.61813,16.71247063
Connecticut,US,5/29/2020 2:32,41.5978,-72.7554,41559,3826,7127,30606,9,1165.65651,235525,12538,9.206188792,84000009,USA,6606.060045,30.1691571
Delaware,US,5/29/2020 2:32,39.3185,-75.5071,9171,345,5010,3816,10,941.809309,56801,,3.761858031,84000010,USA,5833.138214,
Diamond Princess,US,5/29/2020 2:32,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,5/29/2020 2:32,38.8974,-77.0268,8492,453,1082,6957,11,1203.260649,43514,,5.334432407,84000011,USA,6165.648127,
Florida,US,5/29/2020 2:32,27.7663,-81.6868,53285,2364,,50921,12,248.0941079,951616,10056,4.436520597,84000012,USA,4430.708878,18.87210284
Georgia,US,5/29/2020 2:32,33.0406,-83.6431,45266,1973,,43293,13,426.3369746,444646,7767,4.358679804,84000013,USA,4187.890037,17.15857376
Grand Princess,US,5/29/2020 2:32,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,5/29/2020 2:32,13.4443,144.7937,171,5,143,23,66,104.1229016,5962,,2.923976608,316,GUM,3630.29672,
Hawaii,US,5/29/2020 2:32,21.0943,-157.4983,647,17,600,30,15,45.69622113,51839,83,2.627511592,84000015,USA,3661.277291,12.82843895
Idaho,US,5/29/2020 2:32,44.2405,-114.4788,2770,82,2185,503,16,155.0027559,43875,234,2.960288809,84000016,USA,2455.14293,8.44765343
Illinois,US,5/29/2020 2:32,40.3495,-88.9861,115833,5186,,110647,17,914.0990865,829966,,4.477135186,84000017,USA,6549.697948,
Indiana,US,5/29/2020 2:32,39.8494,-86.2583,33068,2068,,31000,18,491.1902004,242287,5285,6.25378009,84000018,USA,3598.917385,15.98221846
Iowa,US,5/29/2020 2:32,42.0115,-93.2105,18586,506,10359,7721,19,589.0836019,142933,,2.722479285,84000019,USA,4530.263988,
Kansas,US,5/29/2020 2:32,38.5266,-96.7265,9371,214,534,8623,20,321.6611735,84488,822,2.28364102,84000020,USA,2900.065012,8.77174261
Kentucky,US,5/29/2020 2:32,37.6681,-84.6701,9185,409,3124,5652,21,205.5880097,182101,2142,4.452912357,84000021,USA,4075.96975,23.32063146
Louisiana,US,5/29/2020 2:32,31.1695,-91.8678,38802,2741,28700,7361,22,834.6680881,393829,,7.064068862,84000022,USA,8471.638021,
Maine,US,5/29/2020 2:32,44.6939,-69.3819,2189,84,1402,703,23,162.8463367,45669,264,3.837368661,84000023,USA,3397.455163,12.06030151
Maryland,US,5/29/2020 2:32,39.0639,-76.8021,49709,2428,3468,43813,24,822.223472,274858,8392,4.884427367,84000024,USA,4546.35376,16.88225472
Massachusetts,US,5/29/2020 2:32,42.2302,-71.5301,94895,6640,,88255,25,1376.785763,562323,9618,6.99720744,84000025,USA,8158.473054,10.13541282
Michigan,US,5/29/2020 2:32,43.3266,-84.5361,56014,5372,33168,17474,26,560.8771609,504458,,9.590459528,84000026,USA,5051.218817,
Minnesota,US,5/29/2020 2:32,45.6945,-93.9002,22947,977,16655,5315,27,406.8882509,225208,2880,4.257637164,84000027,USA,3993.310202,12.55066022
Mississippi,US,5/29/2020 2:32,32.7416,-89.6787,14372,693,9401,4278,28,482.9059298,156497,2147,4.82187587,84000028,USA,5258.372481,14.93876983
Missouri,US,5/29/2020 2:32,38.4561,-92.2884,12981,708,,12273,29,211.5055362,171067,,5.45412526,84000029,USA,2787.27506,
