Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/30/2020 2:32,32.3182,-86.9023,17031,610,9355,7066,1,347.3456539,208883,1800,3.581703952,84000001,USA,4260.14927,10.56896248
Alaska,US,5/30/2020 2:32,61.3707,-152.4044,429,10,367,52,2,58.64300897,49439,,2.331002331,84000002,USA,6758.162519,
American Samoa,US,5/30/2020 2:32,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,5/30/2020 2:32,33.7298,-111.4312,18472,886,4551,13035,4,253.7809891,209813,2911,4.796448679,84000004,USA,2882.554714,15.75898657
Arkansas,US,5/30/2020 2:32,34.9697,-92.3731,6777,132,4583,2062,5,224.5672681,119768,667,1.947764498,84000005,USA,3968.713674,9.842113029
California,US,5/30/2020 2:32,36.1162,-119.6816,106622,4077,,102545,6,269.8456121,1835478,,3.823788712,84000006,USA,4645.342278,
Colorado,US,5/30/2020 2:32,39.0598,-105.3111,25598,1436,3838,20324,8,444.5072669,168959,4254,5.609813267,84000008,USA,2933.959813,16.61848582
Connecticut,US,5/30/2020 2:32,41.5978,-72.7554,41762,3868,7127,30767,9,1171.350301,241393,12538,9.262008524,84000009,USA,6770.647076,30.0225085
Delaware,US,5/30/2020 2:32,39.3185,-75.5071,9236,356,5103,3777,10,948.4844377,57533,,3.85448246,84000010,USA,5908.310433,
Diamond Princess,US,5/30/2020 2:32,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,5/30/2020 2:32,38.8974,-77.0268,8538,460,1089,6989,11,1209.778547,43858,,5.387678613,84000011,USA,6214.390669,
Florida,US,5/30/2020 2:32,27.7663,-81.6868,54497,2413,,52084,12,253.7371605,983239,10243,4.427766666,84000012,USA,4577.94506,18.79553003
Georgia,US,5/30/2020 2:32,33.0406,-83.6431,45881,1987,,43894,13,432.1293406,450271,7852,4.330768728,84000013,USA,4240.868994,17.11383797
Grand Princess,US,5/30/2020 2:32,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,5/30/2020 2:32,13.4443,144.7937,172,5,144,23,66,104.7318074,6095,,2.906976744,316,GUM,3711.281199,
Hawaii,US,5/30/2020 2:32,21.0943,-157.4983,649,17,604,28,15,45.83747683,52824,83,2.619414484,84000015,USA,3730.845726,12.78890601
Idaho,US,5/30/2020 2:32,44.2405,-114.4788,2770,82,2195,493,16,155.0027559,44761,238,2.960288809,84000016,USA,2504.721429,8.592057762
Illinois,US,5/30/2020 2:32,40.3495,-88.9861,117455,5270,,112185,17,926.899141,851762,,4.486824741,84000017,USA,6721.70164,
Indiana,US,5/30/2020 2:32,39.8494,-86.2583,33558,2110,,31448,18,498.4686327,248713,5285,6.287621432,84000018,USA,3694.368825,15.74885273
Iowa,US,5/30/2020 2:32,42.0115,-93.2105,18957,524,10753,7680,19,600.8424536,147320,,2.764150446,84000019,USA,4669.310031,
Kansas,US,5/30/2020 2:32,38.5266,-96.7265,9662,215,547,8900,20,331.6497981,94949,842,2.225212171,84000020,USA,3259.140621,8.714551853
Kentucky,US,5/30/2020 2:32,37.6681,-84.6701,9464,418,3181,5865,21,211.8328714,221274,2180,4.416737109,84000021,USA,4952.779669,23.03465765
Louisiana,US,5/30/2020 2:32,31.1695,-91.8678,38802,2767,28700,7335,22,834.6680881,355027,,7.131075718,84000022,USA,7636.969932,
Maine,US,5/30/2020 2:32,44.6939,-69.3819,2226,85,1458,683,23,165.5988787,45706,270,3.818508535,84000023,USA,3400.207705,12.12938005
Maryland,US,5/30/2020 2:32,39.0639,-76.8021,50988,2466,3571,44951,24,843.379074,284518,8479,4.836432102,84000024,USA,4706.137275,16.629403
Massachusetts,US,5/30/2020 2:32,42.2302,-71.5301,95512,6718,,88794,25,1385.737518,571745,9725,7.033671162,84000025,USA,8295.172305,10.18196666
Michigan,US,5/30/2020 2:32,43.3266,-84.5361,56621,5406,33168,18047,26,566.9551492,521607,,9.547694318,84000026,USA,5222.934503,
Minnesota,US,5/30/2020 2:32,45.6945,-93.9002,23531,1006,16930,5595,27,417.2435365,233873,2936,4.275211423,84000027,USA,4146.954979,12.47715779
Mississippi,US,5/30/2020 2:32,32.7416,-89.6787,14793,710,9401,4682,28,497.0517269,166308,2208,4.799567363,84000028,USA,5588.026675,14.9259785
Missouri,US,5/30/2020 2:32,38.4561,-92.2884,13084,730,,12354,29,213.1837636,177850,,5.579333537,84000029,USA,2897.793669,
Montana,US,5/30/2020 2:32,46.9219,-110.4544,493,17,448,28,30,46.12744649,38529,67,3.448275862,84000030,USA,3604.958186,13.59026369
Nebraska,US,5/30/2020 2:32,41.1254,-98.2681,13648,164,,13484,31,705.5388522,94803,,1.201641266,84000031,USA,4900.879235,
Nevada,US,5/30/2020 2:32,38.3135,-117.0554,8376,406,428,7542,32,271.9342787,134416,,4.847182426,84000032,USA,4363.934814,
New Hampshire,US,5/30/2020 2:32,43.4525,-71.5639,4492,238,2730,1524,33,330.3643201,66862,438,5.298308103,84000033,USA,4917.36847,9.750667854
New Jersey,US,5/30/2020 2:32,40.2989,-74.521,158844,11531,26084,121229,34,1788.34274,716411,16960,7.259323613,84000034,USA,8065.702265,10.67714235
New Mexico,US,5/30/2020 2:32,34.8405,-106.2485,7493,344,2684,4465,35,357.349121,183544,1317,4.590951555,84000035,USA,8753.408122,17.57640464
New York,US,5/30/2020 2:32,42.1657,-74.9481,368284,29646,65289,273349,36,1893.144397,1944130,89194,8.049765942,84000036,USA,9993.697298,24.2188094
North Carolina,US,5/30/2020 2:32,35.6301,-79.8064,26885,919,14954,11012,37,256.3385267,391231,,3.418262972,84000037,USA,3730.242817,
North Dakota,US,5/30/2020 2:32,47.5289,-99.784,2520,59,1882,579,38,330.6817556,69453,164,2.341269841,84000038,USA,9113.825384,6.507936508
Northern Mariana Islands,US,5/30/2020 2:32,15.0979,145.6739,22,2,13,7,69,39.89554621,5684,,9.090909091,580,MNP,10307.55839,
Ohio,US,5/30/2020 2:32,40.3888,-82.7649,34566,2131,,32435,39,295.7113892,369890,5947,6.165017647,84000039,USA,3164.401023,17.20476769
Oklahoma,US,5/30/2020 2:32,35.5653,-96.9289,6338,329,5340,669,40,160.1730212,187398,982,5.19091196,84000040,USA,4735.895209,15.49384664
Oregon,US,5/30/2020 2:32,44.572,-122.0709,4131,151,1981,1999,41,97.94351805,122681,771,3.655289276,84000041,USA,2908.692505,18.6637618
Pennsylvania,US,5/30/2020 2:32,40.5908,-77.2098,74984,5464,46370,23150,42,585.7214844,438309,,7.286887869,84000042,USA,3423.757043,
Puerto Rico,US,5/30/2020 2:32,18.2208,-66.5901,3647,132,,3515,72,124.3263808,3647,,3.619413216,630,PRI,124.3263808,
Rhode Island,US,5/30/2020 2:32,41.6809,-71.5118,14635,693,1206,12736,44,1381.493183,146355,1660,4.735223779,84000044,USA,13815.40381,11.34267168
South Carolina,US,5/30/2020 2:32,33.8569,-80.945,11131,483,6459,4189,45,216.1899068,188257,1634,4.339232773,84000045,USA,3656.38876,14.6797233
South Dakota,US,5/30/2020 2:32,44.2998,-99.4388,4866,59,3744,1063,46,550.0424457,40682,418,1.212494862,84000046,USA,4598.608051,8.590217838
Tennessee,US,5/30/2020 2:32,35.7478,-86.6923,22063,361,14965,6737,47,323.0698178,421967,1710,1.636223542,84000047,USA,6178.887813,7.750532566
Texas,US,5/30/2020 2:32,31.0545,-97.5635,60901,1619,40068,19214,48,210.0332802,893275,,2.658412834,84000048,USA,3080.696186,
Utah,US,5/30/2020 2:32,40.15,-111.8624,9264,107,5813,3344,49,288.9619889,205855,753,1.155008636,84000049,USA,6421.013625,8.128238342
Vermont,US,5/30/2020 2:32,44.0459,-72.7107,975,55,859,61,50,156.2527545,31885,,5.641025641,84000050,USA,5109.865719,
Virgin Islands,US,5/30/2020 2:32,18.3358,-64.8963,69,6,61,2,78,64.32486855,1702,,8.695652174,850,VIR,1586.680091,
Virginia,US,5/30/2020 2:32,37.7693,-78.17,42533,1358,5648,35527,51,498.3059612,298377,7172,3.192814991,84000051,USA,3495.710103,16.86220111
Washington,US,5/30/2020 2:32,47.4009,-121.4905,21071,1111,,19960,53,276.707762,343091,3413,5.272649613,84000053,USA,4505.52621,16.19761758
West Virginia,US,5/30/2020 2:32,38.4912,-80.9545,1951,74,1241,636,54,108.8638376,93377,,3.792926704,84000054,USA,5210.342678,
Wisconsin,US,5/30/2020 2:32,44.2685,-89.6165,17707,568,10880,6259,55,304.1168006,251295,2499,3.207770938,84000055,USA,4315.978507,14.11306263
Wyoming,US,5/30/2020 2:32,42.756,-107.3025,891,15,634,242,56,153.9500898,23269,84,1.683501684,84000056,USA,4020.499033,9.427609428
