Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/27/2020 4:33,32.3182,-86.9023,34183,907,18866,14410,1,697.1590915,378323,2653,2.653365708,84000001,USA,7715.862241,7.761167832
Alaska,US,6/27/2020 4:33,61.3707,-152.4044,833,14,519,300,2,113.8685932,101792,,1.680672269,84000002,USA,13914.66007,
American Samoa,US,6/27/2020 4:33,-14.271,-170.132,0,0,,0,60,0,696,,,16,ASM,1250.876152,
Arizona,US,6/27/2020 4:33,33.7298,-111.4312,66659,1536,8389,56734,4,915.8070028,479823,4514,2.30426499,84000004,USA,6592.137048,6.771778755
Arkansas,US,6/27/2020 4:33,34.9697,-92.3731,18740,249,12127,6364,5,620.9813494,277380,1300,1.328708645,84000005,USA,9191.451797,6.937033084
California,US,6/27/2020 4:33,36.1162,-119.6816,206844,5868,,200976,6,523.4937047,3771314,,2.836920578,84000006,USA,9544.676846,
Colorado,US,6/27/2020 4:33,39.0598,-105.3111,31780,1673,4412,25695,8,551.8572131,302577,5386,5.264317181,84000008,USA,5254.225927,16.94776589
Connecticut,US,6/27/2020 4:33,41.5978,-72.7554,46059,4307,8053,33699,9,1291.873557,416862,10268,9.351049741,84000009,USA,11692.24245,22.29314575
Delaware,US,6/27/2020 4:33,39.3185,-75.5071,11017,507,6661,3849,10,1131.382963,102100,,4.60197876,84000010,USA,10485.08674,
Diamond Princess,US,6/27/2020 4:33,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/27/2020 4:33,38.8974,-77.0268,10185,546,1186,8453,11,1443.147635,88123,,5.360824742,84000011,USA,12486.45057,
Florida,US,6/27/2020 4:33,27.7663,-81.6868,122960,3366,,119594,12,572.4997936,1768885,14281,2.737475602,84000012,USA,8235.900272,11.61434613
Georgia,US,6/27/2020 4:33,33.0406,-83.6431,72995,2770,,70225,13,687.5020426,771028,10605,3.794780464,84000013,USA,7261.912801,14.52839236
Grand Princess,US,6/27/2020 4:33,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/27/2020 4:33,13.4443,144.7937,247,5,179,63,66,150.3997467,11892,,2.024291498,316,GUM,7241.108452,
Hawaii,US,6/27/2020 4:33,21.0943,-157.4983,866,17,696,153,15,61.16372101,73005,109,1.963048499,84000015,USA,5156.186435,12.58660508
Idaho,US,6/27/2020 4:33,44.2405,-114.4788,4865,90,3712,1063,16,272.2340821,82370,303,1.849948613,84000016,USA,4609.233576,6.228160329
Illinois,US,6/27/2020 4:33,40.3495,-88.9861,140291,6847,,133444,17,1107.11002,1492005,,4.880569673,84000017,USA,11774.19567,
Indiana,US,6/27/2020 4:33,39.8494,-86.2583,44140,2595,33396,8149,18,655.6530618,453890,6944,5.879021296,84000018,USA,6742.056371,15.73176257
Iowa,US,6/27/2020 4:33,42.0115,-93.2105,27717,704,17313,9700,19,878.49081,283643,,2.539957427,84000019,USA,8990.069951,
Kansas,US,6/27/2020 4:33,38.5266,-96.7265,13462,265,779,12418,20,462.0854463,167859,1128,1.968503937,84000020,USA,5761.788808,8.379141287
Kentucky,US,6/27/2020 4:33,37.6681,-84.6701,14859,553,3730,10576,21,332.5892472,350754,2589,3.721650178,84000021,USA,7850.932689,17.42378357
Louisiana,US,6/27/2020 4:33,31.1695,-91.8678,54769,3190,39792,11787,22,1178.133512,678006,,5.824462744,84000022,USA,14584.55677,
Maine,US,6/27/2020 4:33,44.6939,-69.3819,3102,103,2542,457,23,230.7671707,89854,343,3.320438427,84000023,USA,6684.511074,11.05738233
Maryland,US,6/27/2020 4:33,39.0639,-76.8021,66115,3142,4903,58070,24,1093.590795,506397,10725,4.752325493,84000024,USA,8376.179355,16.22173486
