Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/6/2020 2:33,32.3182,-86.9023,19387,676,11395,7316,1,395.3960538,239473,1949,3.486872647,84000001,USA,4884.029462,10.05312839
Alaska,US,6/6/2020 2:33,61.3707,-152.4044,523,10,380,133,2,71.49252609,60990,,1.912045889,84000002,USA,8337.149458,
American Samoa,US,6/6/2020 2:33,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,6/6/2020 2:33,33.7298,-111.4312,24439,1015,5298,18126,4,335.7597225,263865,3265,4.153197758,84000004,USA,3625.158115,13.35979377
Arkansas,US,6/6/2020 2:33,34.9697,-92.3731,8651,152,5919,2580,5,286.6654031,147611,792,1.75702231,84000005,USA,4891.338205,9.155010981
California,US,6/6/2020 2:33,36.1162,-119.6816,125738,4529,,121209,6,318.2255779,2238463,,3.601934181,84000006,USA,5665.241867,
Colorado,US,6/6/2020 2:33,39.0598,-105.3111,27601,1524,4034,22043,8,479.2892051,203424,4460,5.521539075,84000008,USA,3532.441841,16.15883482
Connecticut,US,6/6/2020 2:33,41.5978,-72.7554,43460,4038,7284,32138,9,1218.9762,287387,9669,9.291302347,84000009,USA,8060.697498,22.24804418
Delaware,US,6/6/2020 2:33,39.3185,-75.5071,9773,388,5631,3754,10,1003.63127,66729,,3.970121764,84000010,USA,6852.687099,
Diamond Princess,US,6/6/2020 2:33,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/6/2020 2:33,38.8974,-77.0268,9199,479,1138,7582,11,1303.437908,51861,,5.207087727,84000011,USA,7348.363228,
Florida,US,6/6/2020 2:33,27.7663,-81.6868,61488,2660,,58828,12,286.2871447,1134940,11066,4.326047359,84000012,USA,5284.26249,17.99700755
Georgia,US,6/6/2020 2:33,33.0406,-83.6431,50621,2174,,48447,13,476.772942,507788,8646,4.294660319,84000013,USA,4782.591783,17.07986804
Grand Princess,US,6/6/2020 2:33,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/6/2020 2:33,13.4443,144.7937,179,5,162,12,66,108.9941484,7374,,2.793296089,316,GUM,4490.07179,
Hawaii,US,6/6/2020 2:33,21.0943,-157.4983,664,17,611,36,15,46.89689463,52336,83,2.560240964,84000015,USA,3696.379334,12.5
Idaho,US,6/6/2020 2:33,44.2405,-114.4788,3111,83,2362,666,16,174.0843226,53624,255,2.667952427,84000016,USA,3000.67429,8.196721311
Illinois,US,6/6/2020 2:33,40.3495,-88.9861,125915,5795,,120120,17,993.6614477,1000919,,4.602311083,84000017,USA,7898.777926,
Indiana,US,6/6/2020 2:33,39.8494,-86.2583,36578,2258,24317,10003,18,543.3275418,291638,6053,6.173109519,84000018,USA,4331.974346,16.54819837
Iowa,US,6/6/2020 2:33,42.0115,-93.2105,21154,593,12585,7976,19,670.4764078,180663,,2.80325234,84000019,USA,5726.117012,
Kansas,US,6/6/2020 2:33,38.5266,-96.7265,10306,232,612,9462,20,353.755208,113653,917,2.251115855,84000020,USA,3901.158612,8.897729478
Kentucky,US,6/6/2020 2:33,37.6681,-84.6701,10977,466,3316,7195,21,245.6983759,242417,2345,4.245240047,84000021,USA,5426.023794,21.36284959
Louisiana,US,6/6/2020 2:33,31.1695,-91.8678,41989,2912,31728,7349,22,903.2235027,420786,,6.935149682,84000022,USA,9051.508843,
Maine,US,6/6/2020 2:33,44.6939,-69.3819,2482,98,1797,587,23,184.6434937,57532,293,3.948428687,84000023,USA,4279.979646,11.80499597
Maryland,US,6/6/2020 2:33,39.0639,-76.8021,56770,2702,4159,49909,24,939.0176126,347726,9346,4.759556104,84000024,USA,5751.644149,16.46292056
Massachusetts,US,6/6/2020 2:33,42.2302,-71.5301,102557,7235,,95322,25,1487.950023,634769,10303,7.054613532,84000025,USA,9209.557109,10.04612069
Michigan,US,6/6/2020 2:33,43.3266,-84.5361,63777,5854,38099,19824,26,586.0202064,627547,,9.590773174,84000026,USA,6283.728705,
Minnesota,US,6/6/2020 2:33,45.6945,-93.9002,26980,1159,21864,3957,27,478.4000091,322340,3289,4.295774648,84000027,USA,5715.621161,12.19051149
Mississippi,US,6/6/2020 2:33,32.7416,-89.6787,16769,803,11203,4763,28,563.4462522,193113,2475,4.788598008,84000028,USA,6488.687226,14.75937742
Missouri,US,6/6/2020 2:33,38.4561,-92.2884,14572,805,,13767,29,237.4284472,224542,,5.524293165,84000029,USA,3658.568378,
Montana,US,6/6/2020 2:33,46.9219,-110.4544,541,18,470,53,30,50.61855689,45888,68,3.327171904,84000030,USA,4293.50155,12.56931608
